Year,Units,Местность,Пол,Регионы,GeoCode,Value
2014,процент,,,Северо-Казахстанская,KZ16,70.3
2015,процент,,,Северо-Казахстанская,KZ16,67.76427730694405
2016,процент,,,Северо-Казахстанская,KZ16,74.8
2017,процент,,,Северо-Казахстанская,KZ16,75.7
2018,процент,,,Северо-Казахстанская,KZ16,77.0
2018,процент,,,Туркестанская,KZ10,84.8
2011,процент,,,Восточно-Казахстанская,KZ15,44.875610801261054
2012,процент,,,Восточно-Казахстанская,KZ15,66.38400412010571
2013,процент,,,Восточно-Казахстанская,KZ15,67.0
2014,процент,,,Восточно-Казахстанская,KZ15,67.1
2015,процент,,,Восточно-Казахстанская,KZ15,68.09526354822975
2016,процент,,,Восточно-Казахстанская,KZ15,74.5
2017,процент,,,Восточно-Казахстанская,KZ15,77.4
2018,процент,,,Восточно-Казахстанская,KZ15,79.2
2011,процент,,,г_Нур-Султан,KZ05,54.31346978541938
2012,процент,,,г_Нур-Султан,KZ05,64.3023319712125
2013,процент,,,г_Нур-Султан,KZ05,64.5
2014,процент,,,г_Нур-Султан,KZ05,66.2
2015,процент,,,г_Нур-Султан,KZ05,86.85082232392773
2016,процент,,,г_Нур-Султан,KZ05,85.3
2017,процент,,,г_Нур-Султан,KZ05,88.0
2018,процент,,,г_Нур-Султан,KZ05,88.1
2011,процент,,,г_Алматы,KZ02,63.68335723514677
2012,процент,,,г_Алматы,KZ02,68.24678063201104
2013,процент,,,г_Алматы,KZ02,71.0
2014,процент,,,г_Алматы,KZ02,71.0
2015,процент,,,г_Алматы,KZ02,81.91506991196272
2016,процент,,,г_Алматы,KZ02,84.3
2017,процент,,,г_Алматы,KZ02,84.1
2018,процент,,,г_Алматы,KZ02,84.3
2018,процент,,,г_Шымкент,KZ18,80.0
