Year,Units,Sex,Category,Age,Value
2017,%,,related to military service,,0.07
2018,%,,related to military service,,0.06
2019,%,,related to military service,,0.06
2015,%,male,related to military service,,0.16
2016,%,male,related to military service,,0.15
2017,%,male,related to military service,,0.14
2018,%,male,related to military service,,0.13
2019,%,male,related to military service,,0.13
2015,%,female,related to military service,,0.002
2016,%,female,related to military service,,0.001
2017,%,female,related to military service,,0.001
2018,%,female,related to military service,,0.001
2018,%,female,related to military service,,0.001
2015,%,,,up to 51 years old,1.02
2016,%,,,up to 51 years old,0.95
2017,%,,,up to 51 years old,0.79
2018,%,,,up to 51 years old,0.70
2019,%,,,up to 51 years old,0.62
2015,%,male,,up to 51 years old,0.99
2016,%,male,,up to 51 years old,0.94
2017,%,male,,up to 51 years old,0.79
2018,%,male,,up to 51 years old,0.72
2019,%,male,,up to 51 years old,0.64
2015,%,female,,up to 51 years old,1.06
2016,%,female,,up to 51 years old,0.97
2017,%,female,,up to 51 years old,0.78
2018,%,female,,up to 51 years old,0.69
2019,%,female,,up to 51 years old,0.60
2015,%,,,aged 51 - 55 years,10.32
2016,%,,,aged 51 - 55 years,10.01
2017,%,,,aged 51 - 55 years,8.15
2018,%,,,aged 51 - 55 years,7.37
2019,%,,,aged 51 - 55 years,4.41
2015,%,male,,aged 51 - 55 years,10.47
2016,%,male,,aged 51 - 55 years,10.38
2017,%,male,,aged 51 - 55 years,8.75
2018,%,male,,aged 51 - 55 years,7.93
2019,%,male,,aged 51 - 55 years,5.06
2015,%,female,,aged 51 - 55 years,10.20
2016,%,female,,aged 51 - 55 years,9.72
2017,%,female,,aged 51 - 55 years,7.68
2018,%,female,,aged 51 - 55 years,6.92
2019,%,female,,aged 51 - 55 years,3.91
2015,%,,,aged 56 - 62 years,23.32
2016,%,,,aged 56 - 62 years,22.58
2017,%,,,aged 56 - 62 years,19.33
2018,%,,,aged 56 - 62 years,18.05
2019,%,,,aged 56 - 62 years,15.21
2015,%,male,,aged 56 - 62 years,20.14
2016,%,male,,aged 56 - 62 years,19.87
2017,%,male,,aged 56 - 62 years,17.23
2018,%,male,,aged 56 - 62 years,16.42
2019,%,male,,aged 56 - 62 years,14.14
2015,%,female,,aged 56 - 62 years,25.90
2016,%,female,,aged 56 - 62 years,24.76
2017,%,female,,aged 56 - 62 years,21.00
2018,%,female,,aged 56 - 62 years,19.34
2019,%,female,,aged 56 - 62 years,16.04
2015,%,,,aged 63 and older,92.73
2016,%,,,aged 63 and older,92.52
2017,%,,,aged 63 and older,91.47
2018,%,,,aged 63 and older,91.36
2019,%,,,aged 63 and older,92.57
2015,%,male,,aged 63 and older,88.10
2016,%,male,,aged 63 and older,88.25
2017,%,male,,aged 63 and older,87.48
2018,%,male,,aged 63 and older,87.86
2019,%,male,,aged 63 and older,89.58
2015,%,female,,aged 63 and older,95.83
2016,%,female,,aged 63 and older,95.38
2017,%,female,,aged 63 and older,94.14
2018,%,female,,aged 63 and older,93.70
2019,%,female,,aged 63 and older,94.55
