Year,Units,Регионы,сумма ущерба от ЧС,GeoCode,Value
2014,тыс.тенге,Мангистауская,,KZ09,0.0
2015,тыс.тенге,Мангистауская,,KZ09,10332.2
2016,тыс.тенге,Мангистауская,,KZ09,0.0
2017,тыс.тенге,Мангистауская,,KZ09,0.0
2010,тыс.тенге,Павлодарская,,KZ11,75492.0
2011,тыс.тенге,Павлодарская,,KZ11,91298.6
2012,тыс.тенге,Павлодарская,,KZ11,76462.6
2013,тыс.тенге,Павлодарская,,KZ11,138605.1
2014,тыс.тенге,Павлодарская,,KZ11,41893.1
2015,тыс.тенге,Павлодарская,,KZ11,71709.1
2016,тыс.тенге,Павлодарская,,KZ11,38518.5
2017,тыс.тенге,Павлодарская,,KZ11,503358.1
2010,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2011,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2012,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2013,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2014,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2015,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2016,тыс.тенге,Северо-Казахстанская,,KZ16,0.0
2017,тыс.тенге,Северо-Казахстанская,,KZ16,2600.0
2010,тыс.тенге,Туркестанская,,KZ10,61300.0
2011,тыс.тенге,Туркестанская,,KZ10,0.0
2012,тыс.тенге,Туркестанская,,KZ10,977400.0
2013,тыс.тенге,Туркестанская,,KZ10,0.0
2014,тыс.тенге,Туркестанская,,KZ10,0.0
2015,тыс.тенге,Туркестанская,,KZ10,0.0
2016,тыс.тенге,Туркестанская,,KZ10,0.0
2017,тыс.тенге,Туркестанская,,KZ10,0.0
2010,тыс.тенге,Восточно-Казахстанская,,KZ15,1005100.0
2011,тыс.тенге,Восточно-Казахстанская,,KZ15,108000.0
2012,тыс.тенге,Восточно-Казахстанская,,KZ15,109300.0
2013,тыс.тенге,Восточно-Казахстанская,,KZ15,52600.0
2014,тыс.тенге,Восточно-Казахстанская,,KZ15,56600.0
2015,тыс.тенге,Восточно-Казахстанская,,KZ15,220900.0
2016,тыс.тенге,Восточно-Казахстанская,,KZ15,90300.0
2017,тыс.тенге,Восточно-Казахстанская,,KZ15,107600.0
2010,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2011,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2012,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2013,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2014,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2015,тыс.тенге,г.Нур-Султан,,KZ05,4855.0
2016,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2017,тыс.тенге,г.Нур-Султан,,KZ05,0.0
2010,тыс.тенге,г.Алматы,,KZ02,0.0
2011,тыс.тенге,г.Алматы,,KZ02,0.0
2012,тыс.тенге,г.Алматы,,KZ02,0.0
2013,тыс.тенге,г.Алматы,,KZ02,0.0
2014,тыс.тенге,г.Алматы,,KZ02,0.0
2015,тыс.тенге,г.Алматы,,KZ02,0.0
2016,тыс.тенге,г.Алматы,,KZ02,0.0
2017,тыс.тенге,г.Алматы,,KZ02,0.0
2010,тыс.тенге,г.Шымкент,,KZ18,0.0
2011,тыс.тенге,г.Шымкент,,KZ18,0.0
2012,тыс.тенге,г.Шымкент,,KZ18,0.0
2013,тыс.тенге,г.Шымкент,,KZ18,0.0
2014,тыс.тенге,г.Шымкент,,KZ18,501200.0
2015,тыс.тенге,г.Шымкент,,KZ18,25000.0
2016,тыс.тенге,г.Шымкент,,KZ18,0.0
2017,тыс.тенге,г.Шымкент,,KZ18,0.0
2010,тыс.тенге,Республика Казахстан,техногенного характера,,8334944.729999999
2011,тыс.тенге,Республика Казахстан,техногенного характера,,949121.35
2012,тыс.тенге,Республика Казахстан,техногенного характера,,1484323.57
2013,тыс.тенге,Республика Казахстан,техногенного характера,,1238029.8
2014,тыс.тенге,Республика Казахстан,техногенного характера,,1197290.1
2015,тыс.тенге,Республика Казахстан,техногенного характера,,504569.8
2016,тыс.тенге,Республика Казахстан,техногенного характера,,914948.9
2017,тыс.тенге,Республика Казахстан,техногенного характера,,673818.71
2010,тыс.тенге,Акмолинская,техногенного характера,KZ03,4504.8
2011,тыс.тенге,Акмолинская,техногенного характера,KZ03,0.0
2012,тыс.тенге,Акмолинская,техногенного характера,KZ03,57044.3
2013,тыс.тенге,Акмолинская,техногенного характера,KZ03,25791.0
2014,тыс.тенге,Акмолинская,техногенного характера,KZ03,0.0
2015,тыс.тенге,Акмолинская,техногенного характера,KZ03,0.0
2016,тыс.тенге,Акмолинская,техногенного характера,KZ03,0.0
2017,тыс.тенге,Акмолинская,техногенного характера,KZ03,0.0
2010,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2011,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2012,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2013,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2014,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2015,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2016,тыс.тенге,Актюбинская,техногенного характера,KZ04,134695.5
2017,тыс.тенге,Актюбинская,техногенного характера,KZ04,0.0
2010,тыс.тенге,Алматинская,техногенного характера,KZ01,7900000.0
2011,тыс.тенге,Алматинская,техногенного характера,KZ01,367400.0
2012,тыс.тенге,Алматинская,техногенного характера,KZ01,970900.0
2013,тыс.тенге,Алматинская,техногенного характера,KZ01,927600.0
2014,тыс.тенге,Алматинская,техногенного характера,KZ01,180100.0
2015,тыс.тенге,Алматинская,техногенного характера,KZ01,130400.0
2016,тыс.тенге,Алматинская,техногенного характера,KZ01,173300.0
2017,тыс.тенге,Алматинская,техногенного характера,KZ01,180900.0
2010,тыс.тенге,Атырауская,техногенного характера,KZ06,0.0
2011,тыс.тенге,Атырауская,техногенного характера,KZ06,0.0
2012,тыс.тенге,Атырауская,техногенного характера,KZ06,0.0
2013,тыс.тенге,Атырауская,техногенного характера,KZ06,0.0
2014,тыс.тенге,Атырауская,техногенного характера,KZ06,17274.4
2015,тыс.тенге,Атырауская,техногенного характера,KZ06,114069.8
2016,тыс.тенге,Атырауская,техногенного характера,KZ06,145923.4
2017,тыс.тенге,Атырауская,техногенного характера,KZ06,0.0
2010,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,382700.63
2011,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,274747.85
2012,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,407495.27
2013,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,274838.8
2014,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,328119.3
2015,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,0.0
2016,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,0.0
2017,тыс.тенге,Западно-Казахстанская,техногенного характера,KZ07,26296.31
2010,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2011,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2012,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2013,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2014,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2015,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2016,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2017,тыс.тенге,Жамбылская,техногенного характера,KZ17,0.0
2010,тыс.тенге,Карагандинская,техногенного характера,KZ12,0.0
2011,тыс.тенге,Карагандинская,техногенного характера,KZ12,255073.5
2012,тыс.тенге,Карагандинская,техногенного характера,KZ12,14384.0
2013,тыс.тенге,Карагандинская,техногенного характера,KZ12,0.0
2014,тыс.тенге,Карагандинская,техногенного характера,KZ12,12828.0
2015,тыс.тенге,Карагандинская,техногенного характера,KZ12,0.0
2016,тыс.тенге,Карагандинская,техногенного характера,KZ12,0.0
2017,тыс.тенге,Карагандинская,техногенного характера,KZ12,1402.4
2010,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2011,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2012,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2013,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2014,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2015,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2016,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2017,тыс.тенге,Костанайская,техногенного характера,KZ13,0.0
2010,тыс.тенге,Кызылординская,техногенного характера,KZ14,0.0
2011,тыс.тенге,Кызылординская,техногенного характера,KZ14,0.0
2012,тыс.тенге,Кызылординская,техногенного характера,KZ14,21500.0
2013,тыс.тенге,Кызылординская,техногенного характера,KZ14,7600.0
2014,тыс.тенге,Кызылординская,техногенного характера,KZ14,0.0
2015,тыс.тенге,Кызылординская,техногенного характера,KZ14,11300.0
2016,тыс.тенге,Кызылординская,техногенного характера,KZ14,0.0
2017,тыс.тенге,Кызылординская,техногенного характера,KZ14,0.0
2010,тыс.тенге,Мангистауская,техногенного характера,KZ09,17139.3
2011,тыс.тенге,Мангистауская,техногенного характера,KZ09,0.0
2012,тыс.тенге,Мангистауская,техногенного характера,KZ09,0.0
2013,тыс.тенге,Мангистауская,техногенного характера,KZ09,0.0
2014,тыс.тенге,Мангистауская,техногенного характера,KZ09,1955.4
2015,тыс.тенге,Мангистауская,техногенного характера,KZ09,0.0
2016,тыс.тенге,Мангистауская,техногенного характера,KZ09,0.0
2017,тыс.тенге,Мангистауская,техногенного характера,KZ09,0.0
2010,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2011,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2012,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2013,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2014,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2015,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2016,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2017,тыс.тенге,Павлодарская,техногенного характера,KZ11,0.0
2010,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,0.0
2011,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,0.0
2012,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,0.0
2013,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,0.0
2014,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,119000.0
2015,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,0.0
2016,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,103300.0
2017,тыс.тенге,Северо-Казахстанская,техногенного характера,KZ16,87200.0
2010,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2011,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2012,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2013,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2014,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2015,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2016,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2017,тыс.тенге,Туркестанская,техногенного характера,KZ10,0.0
2010,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,30600.0
2011,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,51900.0
2012,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,13000.0
2013,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,2200.0
2014,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,14300.0
2015,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,25100.0
2016,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,18900.0
2017,тыс.тенге,Восточно-Казахстанская,техногенного характера,KZ15,51500.0
2010,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2011,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2012,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2013,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2014,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2015,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2016,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2017,тыс.тенге,г.Нур-Султан,техногенного характера,KZ05,0.0
2010,тыс.тенге,г.Алматы,техногенного характера,KZ02,0.0
2011,тыс.тенге,г.Алматы,техногенного характера,KZ02,0.0
2012,тыс.тенге,г.Алматы,техногенного характера,KZ02,0.0
2013,тыс.тенге,г.Алматы,техногенного характера,KZ02,0.0
2014,тыс.тенге,г.Алматы,техногенного характера,KZ02,125613.0
2015,тыс.тенге,г.Алматы,техногенного характера,KZ02,40000.0
2016,тыс.тенге,г.Алматы,техногенного характера,KZ02,107230.0
2017,тыс.тенге,г.Алматы,техногенного характера,KZ02,104120.0
2010,тыс.тенге,г.Шымкент,техногенного характера,KZ18,0.0
2011,тыс.тенге,г.Шымкент,техногенного характера,KZ18,0.0
2012,тыс.тенге,г.Шымкент,техногенного характера,KZ18,0.0
2013,тыс.тенге,г.Шымкент,техногенного характера,KZ18,0.0
2014,тыс.тенге,г.Шымкент,техногенного характера,KZ18,398100.0
2015,тыс.тенге,г.Шымкент,техногенного характера,KZ18,183700.0
2016,тыс.тенге,г.Шымкент,техногенного характера,KZ18,231600.0
2017,тыс.тенге,г.Шымкент,техногенного характера,KZ18,222400.0
