Year,Units,Регион,Город,Пол,Тип местности,Value
2016,процентах,Западно-Казахстанская,,,,2.24940356723596
2017,процентах,Западно-Казахстанская,,,,1.9370551475446978
2018,процентах,Западно-Казахстанская,,,,1.6
2010,процентах,,,,,5.101019544009767
2011,процентах,,,,,6.468386023294509
2012,процентах,,,,,6.331763474620618
2013,процентах,,,,,4.314832667676629
2014,процентах,,,,,5.4453455326817775
2015,процентах,,,,,8.131331525771248
2016,процентах,,,,,7.82113120099162
2017,процентах,,,,,5.934028905977351
2018,процентах,,,,,5.8
2010,процентах,,,,,3.796732014794492
2011,процентах,,,,,5.611062265206619
2012,процентах,,,,,5.708852162100973
2013,процентах,,,,,4.789198706294375
2014,процентах,,,,,5.256480344930735
2015,процентах,,,,,7.2368347760213005
2016,процентах,,,,,5.893606309783521
2017,процентах,,,,,6.429560191368969
2018,процентах,,,,,7.0
2010,процентах,,,,,3.79713189970509
2011,процентах,,,,,4.536867627590105
2012,процентах,,,,,3.2712250231852287
2013,процентах,,,,,5.22588208842565
2014,процентах,,,,,4.625610173460382
2015,процентах,,,,,6.019926410053932
2016,процентах,,,,,2.9234149914543828
2017,процентах,,,,,3.5347324155988415
2018,процентах,,,,,3.5
2010,процентах,,,,,6.989023204112825
2011,процентах,,,,,9.759935768767564
2012,процентах,,,,,9.893537862743976
2013,процентах,,,,,9.829617883903865
2014,процентах,,,,,9.05453393574632
2015,процентах,,,,,6.606392130764362
2016,процентах,,,,,8.381914961029086
2017,процентах,,,,,5.478421326071768
2018,процентах,,,,,3.4
2010,процентах,,,,,6.941896814529672
2011,процентах,,,,,14.14905497376683
2012,процентах,,,,,12.333073750396585
2013,процентах,,,,,7.559270139434814
2014,процентах,,,,,13.795329321990918
2015,процентах,,,,,6.754952855175336
2016,процентах,,,,,6.182350073135056
2017,процентах,,,,,3.6300863131935883
2018,процентах,,,,,4.0
2010,процентах,,,,,1.9456931172304064
2011,процентах,,,,,5.516644301112506
2012,процентах,,,,,2.333408889706228
2013,процентах,,,,,1.5621135148505432
2014,процентах,,,,,5.310954672606027
2015,процентах,,,,,7.389867590419106
2016,процентах,,,,,6.501366459627329
2017,процентах,,,,,8.197567111862856
2010,процентах,,,,,2.6914275929702214
2011,процентах,,,,,3.082442959938153
2012,процентах,,,,,1.9856232702416554
2013,процентах,,,,,1.0795597748466774
2014,процентах,,,,,2.2486772486772484
2015,процентах,,,,,4.986018176370718
2016,процентах,,,,,7.0790426482343545
2017,процентах,,,,,4.768112308849336
2018,процентах,,,,,5.0
2010,процентах,Северо-Казахстанская,,,,4.874980342821198
2011,процентах,Северо-Казахстанская,,,,4.700243239376163
2012,процентах,Северо-Казахстанская,,,,5.0346519326490276
2013,процентах,Северо-Казахстанская,,,,6.399922070964129
2014,процентах,Северо-Казахстанская,,,,4.595167201099405
2015,процентах,Северо-Казахстанская,,,,5.053775876026368
2016,процентах,Северо-Казахстанская,,,,4.561774821421823
2017,процентах,Северо-Казахстанская,,,,3.3360723089564503
2018,процентах,Северо-Казахстанская,,,,4.3
2018,процентах,Туркестанская,,,,12.0
2010,процентах,,,,,8.143863670691509
2011,процентах,,,,,5.63518256089326
2012,процентах,,,,,4.250459213293868
2013,процентах,,,,,6.481306149929517
2014,процентах,,,,,3.384812634768926
2015,процентах,,,,,4.892256806457187
2016,процентах,,,,,3.415754242125474
2017,процентах,,,,,3.5422901890041407
2018,процентах,,,,,3.1
2010,процентах,,г. Астана,,,3.155053529305026
2011,процентах,,г. Астана,,,5.219202198462793
2012,процентах,,г. Астана,,,12.652303120356612
2013,процентах,,г. Астана,,,17.77010656996722
2014,процентах,,г. Астана,,,4.685824179888309
2015,процентах,,г. Астана,,,4.438509215462404
2016,процентах,,г. Астана,,,4.905330250578017
2017,процентах,,г. Астана,,,3.75975067106235
2018,процентах,,г. Астана,,,4.1
2010,процентах,,г. Алматы,,,2.975722388609099
2011,процентах,,г. Алматы,,,2.860690711158001
2012,процентах,,г. Алматы,,,3.8157906114084614
2013,процентах,,г. Алматы,,,3.4102856335091483
2014,процентах,,г. Алматы,,,3.9411111034420876
2015,процентах,,г. Алматы,,,5.243405931344187
2016,процентах,,г. Алматы,,,4.725467893702823
2017,процентах,,г. Алматы,,,3.3278440059459617
2018,процентах,,г. Алматы,,,2.7
2018,процентах,,,,,10.9
2010,процентах,,,женщины,,7.1022905806029195
2011,процентах,,,женщины,,9.37058527034552
2012,процентах,,,женщины,,6.900014387699555
2013,процентах,,,женщины,,6.5305810339092565
2014,процентах,,,женщины,,8.987956738239061
2015,процентах,,,женщины,,9.713228770357448
2016,процентах,,,женщины,,9.095963058590515
2017,процентах,,,женщины,,7.639134003073983
2018,процентах,,,женщины,,5.2
2010,процентах,Акмолинская,,,,5.95537823914475
2011,процентах,Акмолинская,,,,6.079561428169806
2012,процентах,Акмолинская,,,,5.385094457130994
2013,процентах,Акмолинская,,,,5.723233427214259
2014,процентах,Акмолинская,,,,5.809551221024199
2015,процентах,Акмолинская,,,,9.68506437977962
2016,процентах,Акмолинская,,,,7.159996160859968
2017,процентах,Акмолинская,,,,7.763357580197812
2018,процентах,Акмолинская,,,,3.5
2010,процентах,,,,,1.146494893572086
2011,процентах,,,,,8.98355959836053
2012,процентах,,,,,1.9897462710412035
2013,процентах,,,,,2.384879831038895
2014,процентах,,,,,9.793528992959418
2015,процентах,,,,,10.031996988518728
2016,процентах,,,,,7.903359377812984
2017,процентах,,,,,7.588682666864048
2018,процентах,,,,,4.2
2010,процентах,,,,,7.810696661738192
2011,процентах,,,,,11.740013755049446
2012,процентах,,,,,11.106454058518606
2013,процентах,,,,,10.048022722035018
2014,процентах,,,,,9.88968173570371
2015,процентах,,,,,10.48138729505578
2016,процентах,,,,,10.257382076284326
2017,процентах,,,,,6.8527326572736245
2018,процентах,,,,,3.7
2010,процентах,,,,,4.808562635771181
2011,процентах,,,,,6.346502924500818
2012,процентах,,,,,5.902535234416732
2013,процентах,,,,,4.816390598537734
2014,процентах,,,,,7.262860541183468
2015,процентах,,,,,10.361348143204461
2016,процентах,,,,,8.498846364263457
2017,процентах,,,,,9.951330922537318
2018,процентах,,,,,2.1
2010,процентах,Западно-Казахстанская,,,,8.607178421440013
2011,процентах,Западно-Казахстанская,,,,4.2514960941663755
2012,процентах,Западно-Казахстанская,,,,4.355076952399104
2013,процентах,Западно-Казахстанская,,,,3.245118506692865
2014,процентах,Западно-Казахстанская,,,,3.4364469809659695
2015,процентах,Западно-Казахстанская,,,,4.378744610560502
2016,процентах,Западно-Казахстанская,,,,2.420860052113171
2017,процентах,Западно-Казахстанская,,,,2.4145997254818568
2018,процентах,Западно-Казахстанская,,,,1.6
2010,процентах,,,,,11.4267317169816
2011,процентах,,,,,12.66575451069652
2012,процентах,,,,,8.526199364025992
2013,процентах,,,,,5.425315118122122
2014,процентах,,,,,13.976773890446758
2015,процентах,,,,,17.90280222792993
2016,процентах,,,,,15.976206927629406
2017,процентах,,,,,12.958692667581943
2018,процентах,,,,,5.8
2010,процентах,,,,,10.14698334188792
2011,процентах,,,,,14.740545294635005
2012,процентах,,,,,10.366896235516625
2013,процентах,,,,,5.885831704505589
2014,процентах,,,,,15.886099268382548
2015,процентах,,,,,17.553868340685444
2016,процентах,,,,,13.214508847001685
2017,процентах,,,,,11.041553704342682
2018,процентах,,,,,7.0
2010,процентах,,,,,4.582916555134473
2011,процентах,,,,,5.292173607861488
2012,процентах,,,,,5.77870434715466
2013,процентах,,,,,5.118826751479813
2014,процентах,,,,,4.394454167953602
2015,процентах,,,,,7.065039764680249
2016,процентах,,,,,3.7196242243560858
2017,процентах,,,,,4.627419516598135
2018,процентах,,,,,3.5
2010,процентах,,,,,8.187426509672536
2011,процентах,,,,,15.586731660920222
2012,процентах,,,,,10.33324838472724
2013,процентах,,,,,9.842823203637566
2014,процентах,,,,,16.046407050993793
2015,процентах,,,,,8.795435257579316
2016,процентах,,,,,11.969921309620855
2017,процентах,,,,,7.309440977782685
2018,процентах,,,,,3.4
2010,процентах,,,,,9.661848022153908
2011,процентах,,,,,13.43133614381512
2012,процентах,,,,,6.735172165134307
2013,процентах,,,,,9.282448817332538
2014,процентах,,,,,15.128794848206073
2015,процентах,,,,,13.511275170961406
2016,процентах,,,,,22.376660691043934
2017,процентах,,,,,9.709302325581396
2018,процентах,,,,,4.0
2010,процентах,,,,,6.323882795240494
2011,процентах,,,,,8.348711422208082
2012,процентах,,,,,5.342446326210377
2013,процентах,,,,,5.094537565806026
2014,процентах,,,,,8.358934509180282
2015,процентах,,,,,9.159265732714642
2016,процентах,,,,,9.17450999306388
2017,процентах,,,,,9.790181868998422
2010,процентах,,,,,3.9559132144686613
2011,процентах,,,,,5.790957545325458
2012,процентах,,,,,3.596253821141377
2013,процентах,,,,,2.4631157789447364
2014,процентах,,,,,4.639801785797766
2015,процентах,,,,,6.181040823832292
2016,процентах,,,,,7.938896256248087
2017,процентах,,,,,4.15280215893311
2018,процентах,,,,,5.0
2010,процентах,Северо-Казахстанская,,,,4.34967358133426
2011,процентах,Северо-Казахстанская,,,,8.777127807743929
2012,процентах,Северо-Казахстанская,,,,8.041447350290738
2013,процентах,Северо-Казахстанская,,,,6.269805341783613
2014,процентах,Северо-Казахстанская,,,,8.76514400792763
2015,процентах,Северо-Казахстанская,,,,9.690618762475049
2016,процентах,Северо-Казахстанская,,,,12.487160674981657
2017,процентах,Северо-Казахстанская,,,,10.287896372281082
2018,процентах,Северо-Казахстанская,,,,4.3
2018,процентах,Туркестанская,,,,12.0
2010,процентах,,,,,9.718670076726342
2011,процентах,,,,,10.376627168299288
2012,процентах,,,,,6.100858237233977
2013,процентах,,,,,8.092715081517115
2014,процентах,,,,,8.081550638339582
2015,процентах,,,,,10.53633150801973
2016,процентах,,,,,6.102280260865543
2017,процентах,,,,,8.494324588438698
2018,процентах,,,,,3.1
2010,процентах,,г. Астана,,,11.908372252886112
2011,процентах,,г. Астана,,,7.8130901634921495
2012,процентах,,г. Астана,,,14.268253457703443
2013,процентах,,г. Астана,,,21.05559366151357
2014,процентах,,г. Астана,,,8.080032012805122
2015,процентах,,г. Астана,,,5.81537642990157
2016,процентах,,г. Астана,,,7.621579301931796
2017,процентах,,г. Астана,,,4.326858130926971
2018,процентах,,г. Астана,,,4.1
2010,процентах,,г. Алматы,,,4.524593471040441
2011,процентах,,г. Алматы,,,6.716975137024386
2012,процентах,,г. Алматы,,,2.9928352362052526
2013,процентах,,г. Алматы,,,2.9840747643715138
2014,процентах,,г. Алматы,,,5.610413198123203
2015,процентах,,г. Алматы,,,6.435469509828542
2016,процентах,,г. Алматы,,,5.598175980438051
2017,процентах,,г. Алматы,,,4.594491530636094
2018,процентах,,г. Алматы,,,2.7
2018,процентах,,,,,10.9
2010,процентах,,,,городская местность,5.743596504946697
2011,процентах,,,,городская местность,6.779283209732791
2012,процентах,,,,городская местность,5.889591288495292
2013,процентах,,,,городская местность,5.8229486746728005
2014,процентах,,,,городская местность,6.2602167547840075
2015,процентах,,,,городская местность,6.570605680129805
2016,процентах,,,,городская местность,5.761165115375727
2017,процентах,,,,городская местность,4.901988263374825
2018,процентах,,,,городская местность,5.4
2010,процентах,Акмолинская,,,,5.576312549942768
2011,процентах,Акмолинская,,,,5.049875311720698
2012,процентах,Акмолинская,,,,6.691128443539402
2013,процентах,Акмолинская,,,,5.012295520153962
2014,процентах,Акмолинская,,,,3.9582993972959764
2015,процентах,Акмолинская,,,,6.560816411106507
2016,процентах,Акмолинская,,,,4.02562733582488
2017,процентах,Акмолинская,,,,4.665931874245525
2018,процентах,Акмолинская,,,,2.9
2010,процентах,,,,,2.303070761014686
2011,процентах,,,,,7.361922552097823
2012,процентах,,,,,1.9515079834417506
2013,процентах,,,,,1.7091396819314046
2014,процентах,,,,,8.017033646551834
2015,процентах,,,,,6.284190628794612
2016,процентах,,,,,3.792100626047591
2017,процентах,,,,,4.1541005934429425
2018,процентах,,,,,7.3
2010,процентах,,,,,5.753306450274639
2011,процентах,,,,,10.675032358554724
2012,процентах,,,,,9.960381892576475
2013,процентах,,,,,5.827527277507559
2014,процентах,,,,,7.636689955772066
2015,процентах,,,,,7.728513736419999
2016,процентах,,,,,8.534897221023176
2017,процентах,,,,,5.990774402877135
2018,процентах,,,,,5.5
2010,процентах,,,,,3.356648151957759
2011,процентах,,,,,3.788300835654596
2012,процентах,,,,,3.786652051518398
2013,процентах,,,,,5.5616018479443845
2014,процентах,,,,,4.308001418272072
2015,процентах,,,,,7.3508118729961724
2016,процентах,,,,,8.085526124923845
2017,процентах,,,,,8.292370164565078
2018,процентах,,,,,7.0
2010,процентах,Западно-Казахстанская,,,,10.674277179131549
2011,процентах,Западно-Казахстанская,,,,2.1631159325578357
2012,процентах,Западно-Казахстанская,,,,2.979894686452848
2013,процентах,Западно-Казахстанская,,,,2.6407500122711434
2014,процентах,Западно-Казахстанская,,,,2.2045905355624824
2015,процентах,Западно-Казахстанская,,,,1.71481310567605
2016,процентах,Западно-Казахстанская,,,,1.4099841153688268
2017,процентах,Западно-Казахстанская,,,,1.244130137883295
2018,процентах,Западно-Казахстанская,,,,1.4
2010,процентах,,,,,8.216282473014722
2011,процентах,,,,,7.126207718723866
2012,процентах,,,,,9.377036808342767
2013,процентах,,,,,4.273429119110846
2014,процентах,,,,,6.850146914789422
2015,процентах,,,,,14.871905043235406
2016,процентах,,,,,11.961894953656024
2017,процентах,,,,,8.160390493194216
2018,процентах,,,,,5.8
2010,процентах,,,,,7.4374841161486325
2011,процентах,,,,,10.207751736674673
2012,процентах,,,,,7.59764198828118
2013,процентах,,,,,5.471752800776279
2014,процентах,,,,,10.459751146902537
2015,процентах,,,,,12.032580268209895
2016,процентах,,,,,8.191288888888888
2017,процентах,,,,,8.465999025934494
2018,процентах,,,,,9.9
2010,процентах,,,,,3.789392774788624
2011,процентах,,,,,5.308572500468955
2012,процентах,,,,,4.850844772967265
2013,процентах,,,,,6.605227938809738
2014,процентах,,,,,4.57475714361825
2015,процентах,,,,,5.473872777665112
2016,процентах,,,,,3.097141670498539
2017,процентах,,,,,4.410097498299448
2018,процентах,,,,,4.2
2010,процентах,,,,,9.0868064174019
2011,процентах,,,,,13.590701894618592
2012,процентах,,,,,10.929192182171537
2013,процентах,,,,,9.548221723806472
2014,процентах,,,,,14.432756759470792
2015,процентах,,,,,7.204791042832964
2016,процентах,,,,,10.80350406572219
2017,процентах,,,,,5.501448406752572
2018,процентах,,,,,3.5
2010,процентах,,,,,8.305632712535859
2011,процентах,,,,,10.008576737980656
2012,процентах,,,,,3.6350637923449183
2013,процентах,,,,,7.175286897401382
2014,процентах,,,,,9.918438683367317
2015,процентах,,,,,6.330409696856896
2016,процентах,,,,,14.834902346494308
2017,процентах,,,,,5.965989075961485
2018,процентах,,,,,3.4
2010,процентах,,,,,4.889974086907604
2011,процентах,,,,,5.565060472638165
2012,процентах,,,,,5.08102797278694
2013,процентах,,,,,5.577699000177556
2014,процентах,,,,,5.316826469491191
2015,процентах,,,,,4.613063473890517
2016,процентах,,,,,3.126227592551155
2017,процентах,,,,,4.076436700857103
2010,процентах,,,,,4.110271320242557
2011,процентах,,,,,5.231950799652773
2012,процентах,,,,,3.0503197576573546
2013,процентах,,,,,1.6368498027802811
2014,процентах,,,,,4.064610963383817
2015,процентах,,,,,2.525079016078054
2016,процентах,,,,,5.096745368938378
2017,процентах,,,,,2.0459558504263855
2018,процентах,,,,,2.3
2010,процентах,Северо-Казахстанская,,,,3.6544850498338874
2011,процентах,Северо-Казахстанская,,,,7.780496329954562
2012,процентах,Северо-Казахстанская,,,,7.6003594967046135
2013,процентах,Северо-Казахстанская,,,,4.517716220965526
2014,процентах,Северо-Казахстанская,,,,7.317454119484576
2015,процентах,Северо-Казахстанская,,,,9.21764617465805
2016,процентах,Северо-Казахстанская,,,,9.646863678030467
2017,процентах,Северо-Казахстанская,,,,8.114272460182464
2018,процентах,Северо-Казахстанская,,,,9.7
2018,процентах,Туркестанская,,,,12.8
2010,процентах,,,,,6.306743472543987
2011,процентах,,,,,7.445469451299293
2012,процентах,,,,,3.2388176992285853
2013,процентах,,,,,4.34830623119185
2014,процентах,,,,,4.80647239084184
2015,процентах,,,,,6.275254523395052
2016,процентах,,,,,2.3524579877471394
2017,процентах,,,,,4.607523374646663
2018,процентах,,,,,3.0
2010,процентах,,г. Астана,,,7.783086938395921
2011,процентах,,г. Астана,,,6.630650733531029
2012,процентах,,г. Астана,,,13.518358903637303
2013,процентах,,г. Астана,,,19.326722773102244
2014,процентах,,г. Астана,,,6.50519506147418
2015,процентах,,г. Астана,,,5.174850378913623
2016,процентах,,г. Астана,,,6.354680760113474
2017,процентах,,г. Астана,,,4.083838344848883
2018,процентах,,г. Астана,,,4.1
2010,процентах,,г. Алматы,,,3.8079053617258474
2011,процентах,,г. Алматы,,,4.944269668708181
2012,процентах,,г. Алматы,,,3.3442247697107312
2013,процентах,,г. Алматы,,,3.1668396766103184
2014,процентах,,г. Алматы,,,4.83038657283476
2015,процентах,,г. Алматы,,,5.884230008296637
2016,процентах,,г. Алматы,,,5.196647170938976
2017,процентах,,г. Алматы,,,4.014715397802696
2018,процентах,,г. Алматы,,,3.4
2018,процентах,,,,,9.5
2010,процентах,,,,сельская местность,2.994274661995748
2011,процентах,,,,сельская местность,8.068131028446603
2012,процентах,,,,сельская местность,5.902607344513394
2013,процентах,,,,сельская местность,5.672898662451649
2014,процентах,,,,сельская местность,7.801870290969086
2015,процентах,,,,сельская местность,9.63201743836707
2016,процентах,,,,сельская местность,9.161521914441636
2017,процентах,,,,сельская местность,8.4321924245107
2018,процентах,,,,сельская местность,6.9
2010,процентах,Акмолинская,,,,3.6943681260975136
2011,процентах,Акмолинская,,,,5.082287990495824
2012,процентах,Акмолинская,,,,4.178761158880552
2013,процентах,Акмолинская,,,,5.1109684829240285
2014,процентах,Акмолинская,,,,4.931824775166812
2015,процентах,Акмолинская,,,,8.622981542417572
2016,процентах,Акмолинская,,,,7.342803655985024
2017,процентах,Акмолинская,,,,7.520315070541901
2018,процентах,Акмолинская,,,,5.8
2010,процентах,,,,,0.2929431208017988
2011,процентах,,,,,4.896116334069543
2012,процентах,,,,,0.21011162179908077
2013,процентах,,,,,2.293044783058943
2014,процентах,,,,,4.660416093462295
2015,процентах,,,,,10.962762536317063
2016,процентах,,,,,7.359921702960606
2017,процентах,,,,,6.248598968841066
2018,процентах,,,,,5.3
2010,процентах,,,,,3.192945944465743
2011,процентах,,,,,8.623986226269766
2012,процентах,,,,,8.691960163566812
2013,процентах,,,,,8.541628907086718
2014,процентах,,,,,7.564947719839346
2015,процентах,,,,,8.34356405740711
2016,процентах,,,,,7.292559343045653
2017,процентах,,,,,6.8871705203253795
2018,процентах,,,,,6.2
2010,процентах,,,,,1.8566326572694056
2011,процентах,,,,,4.29724640653256
2012,процентах,,,,,4.073749530571004
2013,процентах,,,,,3.2287892512077296
2014,процентах,,,,,4.938735466633268
2015,процентах,,,,,6.790685573045402
2016,процентах,,,,,6.3970399097726505
2017,процентах,,,,,6.3391514378161595
2018,процентах,,,,,4.8
2010,процентах,Западно-Казахстанская,,,,3.6801148556286134
2011,процентах,Западно-Казахстанская,,,,5.342159509914931
