Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,GeoCode,Value
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,9.278814527576776
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,6.4568473006321625
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,6.44184736693889
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,4.6584403115109705
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,4.042770242188387
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,3.28
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,9.548574108018245
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,6.586801696101436
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,6.895707524073773
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,6.320907617504053
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,5.5392766828563405
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,5.143696930111038
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,5.093945720250521
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,4.710336326818101
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,,4.88
2010,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,9.2657478782216
2011,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,7.768361581920903
2012,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,9.688000610267755
2013,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,6.677411927239237
2014,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,7.4433910522604405
2015,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,6.8916908136894035
2016,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,5.370219690805533
2017,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,7.0722563053851415
2018,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,,6.19
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,15.380005992210126
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,11.829613797902482
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,13.006923837784376
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,8.590017281691573
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,6.9751449061793895
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,6.149311378767088
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,6.0760282509347725
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,3.9513197407934246
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,,4.95
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,13.865404125803176
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,12.627519283403833
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,9.080188679245284
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,6.331186551686497
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,4.817258351659858
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,4.610204610204612
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,5.607759927250682
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,5.056759545923633
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,,5.53
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,12.794046435762164
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,10.22744427112162
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,9.575650132960462
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,7.953254341827625
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,6.550458044133253
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,6.376286577977946
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,5.929581614614023
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,5.051336262011167
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,,4.34
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,9.260763606823721
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,8.828996282527884
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,6.527820951196767
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,4.349484929416253
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,4.524192929990033
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,4.384934617492757
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,4.360580353603425
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,4.823284823284824
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,,3.46
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,8.714596949891071
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,7.038190838813892
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,7.10927645912166
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,5.957247985048474
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,5.111976630963973
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,3.4431874077717657
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,5.328827657915259
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,5.414918099363747
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,,6.12
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,15.781435601561176
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,13.475208233395838
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,12.65768655120804
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,9.331872946330778
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,7.7552052600522625
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,6.3777738948104155
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,5.846932542106641
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,4.60205739036275
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,,4.94
2010,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,7.321994811184777
2011,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,7.0528967254408075
2012,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,6.987617530699277
2013,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,5.343441724515894
2014,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,4.0279046590814716
2015,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,4.515190939006658
2016,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,3.627222122463638
2017,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,3.430471070872825
2018,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,,,,,3.43
2010,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,13.902486782847074
2011,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,13.971025997221673
2012,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,9.76227736791117
2013,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,7.908901175350591
2014,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,6.0326233486114855
2015,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,6.2582239481369735
2016,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,5.20439061317184
2017,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,4.264392324093817
2018,на 1000 родившихся,мальчики и девочки,г_Алматы,,,,,,5.74
2010,на 1000 родившихся,мальчики и девочки,,городское население,,,,,12.345294459672733
2011,на 1000 родившихся,мальчики и девочки,,городское население,,,,,10.994578710036988
2012,на 1000 родившихся,мальчики и девочки,,городское население,,,,,9.5173417414504
2013,на 1000 родившихся,мальчики и девочки,,городское население,,,,,7.622395323402567
2014,на 1000 родившихся,мальчики и девочки,,городское население,,,,,6.368340506505223
2015,на 1000 родившихся,мальчики и девочки,,городское население,,,,,6.226528732374407
2016,на 1000 родившихся,мальчики и девочки,,городское население,,,,,5.314911788134818
2017,на 1000 родившихся,мальчики и девочки,,городское население,,,,,4.492014441451729
2018,на 1000 родившихся,мальчики и девочки,,городское население,,,,,4.89
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,10.18573996405033
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,11.19177253478524
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,8.475793707800603
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,9.506833036244801
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,5.4733727810650885
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,5.632132799762857
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,4.4596402556860415
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,3.351104341203351
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,,4.5
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,12.733446519524618
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,6.889242183359832
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,10.819560402112796
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,7.524331397726343
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,6.695212144803425
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,6.032727546942161
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,6.0938452163315056
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,3.9963110974485088
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,,5.45
2010,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,11.720126894606981
2011,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,10.241017038933519
2012,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,8.548469823901522
2013,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,6.848743005094797
2014,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,4.832448704745306
2015,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,5.484174240050142
2016,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,5.400683027559369
2017,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,4.162412628602843
2018,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,,4.0
2010,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,10.25772534940377
2011,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,11.31928181108509
2012,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,12.257026123560724
2013,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,6.306852637962401
2014,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,5.03190967108493
2015,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,4.999390318253871
2016,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,4.617871161394596
2017,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,4.246542101431691
2018,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,,5.51
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,9.71634540040746
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,7.763975155279502
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,5.979291235234068
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,5.428571428571429
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,6.686046511627908
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,6.157811828726906
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,5.250403877221325
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,5.5548028722395335
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,,3.81
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,12.209898406188836
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,12.126111560226354
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,8.970156977747111
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,13.869005010737295
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,10.763038151907596
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,10.494752623688157
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,7.250221043324492
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,5.6133247446397325
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,,3.93
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,9.920526171553847
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,6.494866959983237
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,7.2783987522745
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,6.272949816401469
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,5.155420773313116
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,5.4804343372259785
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,5.29485049833887
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,4.904121666299316
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,,5.21
2010,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,8.645533141210375
2011,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,8.79677948412107
2012,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,10.655964572377526
2013,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,6.8861038424459435
2014,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,7.6109936575052854
2015,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,8.24598183088749
2016,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,5.2706552706552685
2017,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,6.633254716981133
2018,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,,6.3
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,16.242073645566805
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,12.01558778956484
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,12.38919149845135
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,8.973080757726821
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,8.181045473863152
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,8.23045267489712
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,8.443386014288809
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,3.982741453700631
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,,6.47
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,15.186756054179778
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,14.065050860228558
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,7.942417473318442
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,6.055066834228264
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,5.5398653052357165
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,4.537650233014472
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,5.70515746234596
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,3.8263911665026784
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,,5.69
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,15.8311345646438
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,15.28765352294764
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,11.06305628682462
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,8.910037364672819
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,7.488232777064612
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,6.79139580360446
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,5.333402040605998
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,5.009072554882568
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,,4.51
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,9.694619486185166
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,8.089679879810468
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,6.693896074427048
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,4.02729611813402
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,4.231625835189308
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,4.581005586592179
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,4.202635165833712
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,5.487295717523558
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,,4.09
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,8.308764406325384
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,6.307490144546647
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,7.660878447395301
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,7.274616783580152
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,4.641567818463125
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,4.124774426398557
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,4.235044997353096
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,5.0604441945459655
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,,7.01
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,15.74264202600958
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,13.366188769414576
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,13.537906137184114
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,9.23754707596106
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,8.814485821660401
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,7.526584725866593
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,6.0725982532751095
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,4.166372431325471
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,,5.63
2010,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,7.321994811184777
2011,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,7.0528967254408075
2012,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,6.987617530699277
2013,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,5.343441724515894
2014,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,4.0279046590814716
2015,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,4.515190939006658
2016,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,3.627222122463638
2017,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,3.430471070872825
2018,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,городское население,,,,,3.43
2010,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,13.902486782847074
2011,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,13.971025997221673
2012,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,9.76227736791117
2013,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,7.908901175350591
2014,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,6.0326233486114855
2015,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,6.2582239481369735
2016,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,5.20439061317184
2017,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,4.264392324093817
2018,на 1000 родившихся,мальчики и девочки,г_Алматы,городское население,,,,,5.74
2010,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,10.612109685120773
2011,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,8.447410449463838
2012,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,8.44556950452278
2013,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,6.560860838913157
2014,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,5.275146185576356
2015,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,4.843153196890557
2016,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,4.942589917116568
2017,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,4.7853624208304035
2018,на 1000 родившихся,мальчики и девочки,,сельское население,,,,,4.13
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,,,,,9.039740747057822
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,,,,,8.741547088899884
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,,,,,5.250154416306362
