Year,Units,Регионы,Пол,Местность,Возраст,Value
2016,процент,Карагандинская,,,,15.0
2017,процент,Карагандинская,,,,14.0
2018,процент,Карагандинская,,,,15.5
2012,процент,Костанайская,,,,10.4
2013,процент,Костанайская,,,,11.8
2014,процент,Костанайская,,,,13.0
2015,процент,Костанайская,,,,18.8
2016,процент,Костанайская,,,,16.2
2017,процент,Костанайская,,,,9.1
2018,процент,Костанайская,,,,7.6
2012,процент,Кызылординская,,,,13.2
2013,процент,Кызылординская,,,,11.2
2014,процент,Кызылординская,,,,14.3
2015,процент,Кызылординская,,,,17.9
2016,процент,Кызылординская,,,,10.1
2017,процент,Кызылординская,,,,8.3
2018,процент,Кызылординская,,,,6.6
2012,процент,Мангистауская,,,,2.4
2013,процент,Мангистауская,,,,5.6
2014,процент,Мангистауская,,,,6.8
2015,процент,Мангистауская,,,,5.2
2016,процент,Мангистауская,,,,2.4
2017,процент,Мангистауская,,,,2.3
2018,процент,Мангистауская,,,,2.8
2012,процент,Южно-Казахстанская,,,,19.7
2013,процент,Южно-Казахстанская,,,,16.0
2014,процент,Южно-Казахстанская,,,,17.1
2015,процент,Южно-Казахстанская,,,,10.0
2016,процент,Южно-Казахстанская,,,,8.2
2017,процент,Южно-Казахстанская,,,,4.8
2012,процент,Павлодарская,,,,14.8
2013,процент,Павлодарская,,,,14.7
2014,процент,Павлодарская,,,,15.3
2015,процент,Павлодарская,,,,10.4
2016,процент,Павлодарская,,,,13.0
2017,процент,Павлодарская,,,,9.4
2018,процент,Павлодарская,,,,3.2
2012,процент,Северо-Казахстанская,,,,13.9
2013,процент,Северо-Казахстанская,,,,14.6
2014,процент,Северо-Казахстанская,,,,17.7
2015,процент,Северо-Казахстанская,,,,14.5
2016,процент,Северо-Казахстанская,,,,10.1
2017,процент,Северо-Казахстанская,,,,6.4
2018,процент,Северо-Казахстанская,,,,7.0
2018,процент,Туркестанская,,,,4.9
2012,процент,Восточно-Казахстанская,,,,16.0
2013,процент,Восточно-Казахстанская,,,,13.9
2014,процент,Восточно-Казахстанская,,,,18.3
2015,процент,Восточно-Казахстанская,,,,14.1
2016,процент,Восточно-Казахстанская,,,,9.0
2017,процент,Восточно-Казахстанская,,,,6.5
2018,процент,Восточно-Казахстанская,,,,3.9
2012,процент,г.Нур-Султан,,,,13.3
2013,процент,г.Нур-Султан,,,,4.8
2014,процент,г.Нур-Султан,,,,23.1
2015,процент,г.Нур-Султан,,,,26.7
2016,процент,г.Нур-Султан,,,,17.3
2017,процент,г.Нур-Султан,,,,24.6
2018,процент,г.Нур-Султан,,,,16.6
2012,процент,г.Алматы,,,,9.9
2013,процент,г.Алматы,,,,10.5
2014,процент,г.Алматы,,,,14.8
2015,процент,г.Алматы,,,,11.4
2016,процент,г.Алматы,,,,17.2
2017,процент,г.Алматы,,,,10.5
2018,процент,г.Алматы,,,,10.9
2018,процент,г.Шымкент,,,,4.4
2012,процент,Республика Казахстан,мужчины,,,13.2
2013,процент,Республика Казахстан,мужчины,,,13.1
2014,процент,Республика Казахстан,мужчины,,,17.1
2015,процент,Республика Казахстан,мужчины,,,15.0
2016,процент,Республика Казахстан,мужчины,,,12.4
2017,процент,Республика Казахстан,мужчины,,,10.0
2018,процент,Республика Казахстан,мужчины,,,9.2
2012,процент,Акмолинская,мужчины,,,11.9
2013,процент,Акмолинская,мужчины,,,13.7
2014,процент,Акмолинская,мужчины,,,18.3
2015,процент,Акмолинская,мужчины,,,15.6
2016,процент,Акмолинская,мужчины,,,13.6
2017,процент,Акмолинская,мужчины,,,12.7
2018,процент,Акмолинская,мужчины,,,11.2
2012,процент,Актюбинская,мужчины,,,10.0
2013,процент,Актюбинская,мужчины,,,13.4
2014,процент,Актюбинская,мужчины,,,12.4
2015,процент,Актюбинская,мужчины,,,10.5
2016,процент,Актюбинская,мужчины,,,8.0
2017,процент,Актюбинская,мужчины,,,2.6
2018,процент,Актюбинская,мужчины,,,3.5
2012,процент,Алматинская,мужчины,,,22.0
2013,процент,Алматинская,мужчины,,,17.7
2014,процент,Алматинская,мужчины,,,21.2
2015,процент,Алматинская,мужчины,,,22.5
2016,процент,Алматинская,мужчины,,,16.1
2017,процент,Алматинская,мужчины,,,15.6
2018,процент,Алматинская,мужчины,,,13.8
2012,процент,Атырауская,мужчины,,,5.8
2013,процент,Атырауская,мужчины,,,4.8
2014,процент,Атырауская,мужчины,,,5.7
2015,процент,Атырауская,мужчины,,,5.2
2016,процент,Атырауская,мужчины,,,4.0
2017,процент,Атырауская,мужчины,,,3.8
2018,процент,Атырауская,мужчины,,,3.3
2012,процент,Западно-Казахстанская,мужчины,,,3.7
2013,процент,Западно-Казахстанская,мужчины,,,9.6
2014,процент,Западно-Казахстанская,мужчины,,,13.3
2015,процент,Западно-Казахстанская,мужчины,,,12.7
2016,процент,Западно-Казахстанская,мужчины,,,10.4
2017,процент,Западно-Казахстанская,мужчины,,,11.3
2018,процент,Западно-Казахстанская,мужчины,,,11.7
2012,процент,Жамбылская,мужчины,,,9.7
2013,процент,Жамбылская,мужчины,,,25.4
2014,процент,Жамбылская,мужчины,,,29.4
2015,процент,Жамбылская,мужчины,,,22.3
2016,процент,Жамбылская,мужчины,,,21.6
2017,процент,Жамбылская,мужчины,,,12.3
2018,процент,Жамбылская,мужчины,,,15.0
2012,процент,Карагандинская,мужчины,,,16.5
2013,процент,Карагандинская,мужчины,,,13.3
2014,процент,Карагандинская,мужчины,,,16.4
2015,процент,Карагандинская,мужчины,,,16.1
2016,процент,Карагандинская,мужчины,,,12.8
2017,процент,Карагандинская,мужчины,,,12.4
2018,процент,Карагандинская,мужчины,,,15.2
2012,процент,Костанайская,мужчины,,,9.1
2013,процент,Костанайская,мужчины,,,10.4
2014,процент,Костанайская,мужчины,,,12.2
2015,процент,Костанайская,мужчины,,,16.6
2016,процент,Костанайская,мужчины,,,16.3
2017,процент,Костанайская,мужчины,,,9.6
2018,процент,Костанайская,мужчины,,,9.8
2012,процент,Кызылординская,мужчины,,,12.5
2013,процент,Кызылординская,мужчины,,,12.1
2014,процент,Кызылординская,мужчины,,,14.8
2015,процент,Кызылординская,мужчины,,,19.7
2016,процент,Кызылординская,мужчины,,,10.1
2017,процент,Кызылординская,мужчины,,,8.6
2018,процент,Кызылординская,мужчины,,,7.1
2012,процент,Мангистауская,мужчины,,,2.3
2013,процент,Мангистауская,мужчины,,,4.3
2014,процент,Мангистауская,мужчины,,,5.2
2015,процент,Мангистауская,мужчины,,,5.2
2016,процент,Мангистауская,мужчины,,,2.5
2017,процент,Мангистауская,мужчины,,,2.2
2018,процент,Мангистауская,мужчины,,,2.3
2012,процент,Южно-Казахстанская,мужчины,,,21.7
2013,процент,Южно-Казахстанская,мужчины,,,18.1
2014,процент,Южно-Казахстанская,мужчины,,,20.8
2015,процент,Южно-Казахстанская,мужчины,,,12.5
2016,процент,Южно-Казахстанская,мужчины,,,9.7
2017,процент,Южно-Казахстанская,мужчины,,,5.5
2012,процент,Павлодарская,мужчины,,,13.2
2013,процент,Павлодарская,мужчины,,,11.8
2014,процент,Павлодарская,мужчины,,,13.0
2015,процент,Павлодарская,мужчины,,,7.2
2016,процент,Павлодарская,мужчины,,,9.2
2017,процент,Павлодарская,мужчины,,,7.6
2018,процент,Павлодарская,мужчины,,,2.2
2012,процент,Северо-Казахстанская,мужчины,,,11.9
2013,процент,Северо-Казахстанская,мужчины,,,12.9
2014,процент,Северо-Казахстанская,мужчины,,,19.4
2015,процент,Северо-Казахстанская,мужчины,,,15.5
2016,процент,Северо-Казахстанская,мужчины,,,9.7
2017,процент,Северо-Казахстанская,мужчины,,,6.7
2018,процент,Северо-Казахстанская,мужчины,,,7.2
2018,процент,Туркестанская,мужчины,,,6.2
2012,процент,Восточно-Казахстанская,мужчины,,,13.2
2013,процент,Восточно-Казахстанская,мужчины,,,12.6
2014,процент,Восточно-Казахстанская,мужчины,,,16.6
2015,процент,Восточно-Казахстанская,мужчины,,,12.6
2016,процент,Восточно-Казахстанская,мужчины,,,7.2
2017,процент,Восточно-Казахстанская,мужчины,,,6.4
2018,процент,Восточно-Казахстанская,мужчины,,,33.3
2012,процент,г.Нур-Султан,мужчины,,,12.4
2013,процент,г.Нур-Султан,мужчины,,,5.4
2014,процент,г.Нур-Султан,мужчины,,,23.0
2015,процент,г.Нур-Султан,мужчины,,,27.4
2016,процент,г.Нур-Султан,мужчины,,,19.0
2017,процент,г.Нур-Султан,мужчины,,,25.2
2018,процент,г.Нур-Султан,мужчины,,,16.0
2012,процент,г.Алматы,мужчины,,,10.6
2013,процент,г.Алматы,мужчины,,,11.8
2014,процент,г.Алматы,мужчины,,,15.4
2015,процент,г.Алматы,мужчины,,,11.7
2016,процент,г.Алматы,мужчины,,,17.5
2017,процент,г.Алматы,мужчины,,,10.5
2018,процент,г.Алматы,мужчины,,,11.4
2018,процент,г.Шымкент,мужчины,,,4.5
2012,процент,Республика Казахстан,,,,13.7
2013,процент,Республика Казахстан,,,,12.8
2014,процент,Республика Казахстан,,,,15.8
2015,процент,Республика Казахстан,,,,13.8
2016,процент,Республика Казахстан,,,,12.3
2017,процент,Республика Казахстан,,,,9.6
2018,процент,Республика Казахстан,,,,8.7
2012,процент,Акмолинская,,,,9.9
2013,процент,Акмолинская,,,,9.5
2014,процент,Акмолинская,,,,13.3
2015,процент,Акмолинская,,,,11.2
2016,процент,Акмолинская,,,,9.5
2017,процент,Акмолинская,,,,8.7
2018,процент,Акмолинская,,,,7.6
2012,процент,Актюбинская,,,,15.8
2013,процент,Актюбинская,,,,10.8
2014,процент,Актюбинская,,,,13.2
2015,процент,Актюбинская,,,,11.7
2016,процент,Актюбинская,,,,7.8
2017,процент,Актюбинская,,,,2.0
2018,процент,Актюбинская,,,,3.8
2012,процент,Алматинская,,,,17.0
2013,процент,Алматинская,,,,15.8
2014,процент,Алматинская,,,,15.4
2015,процент,Алматинская,,,,16.0
2016,процент,Алматинская,,,,13.4
2017,процент,Алматинская,,,,11.8
2018,процент,Алматинская,,,,10.3
2012,процент,Атырауская,,,,6.5
2013,процент,Атырауская,,,,5.5
2014,процент,Атырауская,,,,3.9
2015,процент,Атырауская,,,,4.7
2016,процент,Атырауская,,,,2.5
2017,процент,Атырауская,,,,6.5
2018,процент,Атырауская,,,,5.9
2012,процент,Западно-Казахстанская,,,,4.2
2013,процент,Западно-Казахстанская,,,,9.0
2014,процент,Западно-Казахстанская,,,,11.7
2015,процент,Западно-Казахстанская,,,,12.2
2016,процент,Западно-Казахстанская,,,,12.0
2017,процент,Западно-Казахстанская,,,,12.2
2018,процент,Западно-Казахстанская,,,,13.5
2012,процент,Жамбылская,,,,10.5
2013,процент,Жамбылская,,,,24.8
2014,процент,Жамбылская,,,,26.3
2015,процент,Жамбылская,,,,17.1
2016,процент,Жамбылская,,,,19.3
2017,процент,Жамбылская,,,,8.5
2018,процент,Жамбылская,,,,12.2
2012,процент,Карагандинская,,,,20.5
2013,процент,Карагандинская,,,,17.8
2014,процент,Карагандинская,,,,19.4
2015,процент,Карагандинская,,,,18.7
2016,процент,Карагандинская,,,,17.3
2017,процент,Карагандинская,,,,15.9
2018,процент,Карагандинская,,,,18.5
2012,процент,Костанайская,,,,11.6
2013,процент,Костанайская,,,,13.0
2014,процент,Костанайская,,,,13.8
2015,процент,Костанайская,,,,20.9
2016,процент,Костанайская,,,,16.0
2017,процент,Костанайская,,,,8.6
2018,процент,Костанайская,,,,5.5
2012,процент,Кызылординская,,,,13.8
2013,процент,Кызылординская,,,,10.2
2014,процент,Кызылординская,,,,13.7
2015,процент,Кызылординская,,,,15.9
2016,процент,Кызылординская,,,,10.2
2017,процент,Кызылординская,,,,7.9
2018,процент,Кызылординская,,,,6.4
2012,процент,Мангистауская,,,,2.7
2013,процент,Мангистауская,,,,7.2
2014,процент,Мангистауская,,,,8.9
2015,процент,Мангистауская,,,,5.2
2016,процент,Мангистауская,,,,2.2
2017,процент,Мангистауская,,,,2.4
2018,процент,Мангистауская,,,,3.5
2012,процент,Южно-Казахстанская,,,,17.2
2013,процент,Южно-Казахстанская,,,,13.4
2014,процент,Южно-Казахстанская,,,,13.0
2015,процент,Южно-Казахстанская,,,,7.3
2016,процент,Южно-Казахстанская,,,,6.4
2017,процент,Южно-Казахстанская,,,,4.0
2012,процент,Павлодарская,,,,16.5
2013,процент,Павлодарская,,,,17.8
2014,процент,Павлодарская,,,,17.5
2015,процент,Павлодарская,,,,13.3
2016,процент,Павлодарская,,,,16.5
2017,процент,Павлодарская,,,,11.0
2018,процент,Павлодарская,,,,4.2
2012,процент,Северо-Казахстанская,,,,15.7
2013,процент,Северо-Казахстанская,,,,16.2
2014,процент,Северо-Казахстанская,,,,16.1
2015,процент,Северо-Казахстанская,,,,13.6
2016,процент,Северо-Казахстанская,,,,10.5
2017,процент,Северо-Казахстанская,,,,6.1
2018,процент,Северо-Казахстанская,,,,6.7
2018,процент,Туркестанская,,,,2.9
2012,процент,Восточно-Казахстанская,,,,18.9
2013,процент,Восточно-Казахстанская,,,,15.1
2014,процент,Восточно-Казахстанская,,,,20.1
2015,процент,Восточно-Казахстанская,,,,15.7
2016,процент,Восточно-Казахстанская,,,,10.8
2017,процент,Восточно-Казахстанская,,,,6.6
2018,процент,Восточно-Казахстанская,,,,4.4
2012,процент,г.Нур-Султан,,,,14.2
2013,процент,г.Нур-Султан,,,,4.3
2014,процент,г.Нур-Султан,,,,23.1
2015,процент,г.Нур-Султан,,,,25.9
2016,процент,г.Нур-Султан,,,,15.6
2017,процент,г.Нур-Султан,,,,23.9
2018,процент,г.Нур-Султан,,,,20.8
2012,процент,г.Алматы,,,,9.2
2013,процент,г.Алматы,,,,9.2
2014,процент,г.Алматы,,,,14.2
2015,процент,г.Алматы,,,,11.1
2016,процент,г.Алматы,,,,17.0
2017,процент,г.Алматы,,,,10.5
2018,процент,г.Алматы,,,,11.6
2018,процент,г.Шымкент,,,,4.5
2012,процент,Республика Казахстан,,городское население,,14.1
2013,процент,Республика Казахстан,,городское население,,12.9
2014,процент,Республика Казахстан,,городское население,,17.9
2015,процент,Республика Казахстан,,городское население,,15.5
2016,процент,Республика Казахстан,,городское население,,14.0
2017,процент,Республика Казахстан,,городское население,,10.7
2018,процент,Республика Казахстан,,городское население,,9.6
2012,процент,Акмолинская,,городское население,,12.7
2013,процент,Акмолинская,,городское население,,11.5
2014,процент,Акмолинская,,городское население,,16.5
2015,процент,Акмолинская,,городское население,,14.4
2016,процент,Акмолинская,,городское население,,12.1
2017,процент,Акмолинская,,городское население,,10.4
2018,процент,Акмолинская,,городское население,,10.4
2012,процент,Актюбинская,,городское население,,12.4
2013,процент,Актюбинская,,городское население,,11.0
2014,процент,Актюбинская,,городское население,,13.0
2015,процент,Актюбинская,,городское население,,11.8
2016,процент,Актюбинская,,городское население,,7.9
2017,процент,Актюбинская,,городское население,,2.0
2018,процент,Актюбинская,,городское население,,3.2
2012,процент,Алматинская,,городское население,,19.1
2013,процент,Алматинская,,городское население,,11.7
2014,процент,Алматинская,,городское население,,22.0
2015,процент,Алматинская,,городское население,,16.8
2016,процент,Алматинская,,городское население,,15.9
2017,процент,Алматинская,,городское население,,14.5
2018,процент,Алматинская,,городское население,,15.9
2012,процент,Атырауская,,городское население,,3.2
2013,процент,Атырауская,,городское население,,3.1
2014,процент,Атырауская,,городское население,,2.5
2015,процент,Атырауская,,городское население,,2.8
2016,процент,Атырауская,,городское население,,2.2
2017,процент,Атырауская,,городское население,,4.3
2018,процент,Атырауская,,городское население,,4.0
2012,процент,Западно-Казахстанская,,городское население,,5.1
2013,процент,Западно-Казахстанская,,городское население,,10.4
2014,процент,Западно-Казахстанская,,городское население,,12.6
2015,процент,Западно-Казахстанская,,городское население,,12.5
2016,процент,Западно-Казахстанская,,городское население,,11.3
2017,процент,Западно-Казахстанская,,городское население,,12.3
2018,процент,Западно-Казахстанская,,городское население,,12.3
2012,процент,Жамбылская,,городское население,,12.0
2013,процент,Жамбылская,,городское население,,30.3
2014,процент,Жамбылская,,городское население,,37.6
2015,процент,Жамбылская,,городское население,,23.6
2016,процент,Жамбылская,,городское население,,24.9
2017,процент,Жамбылская,,городское население,,10.3
2018,процент,Жамбылская,,городское население,,16.3
2012,процент,Карагандинская,,городское население,,20.4
2013,процент,Карагандинская,,городское население,,17.2
2014,процент,Карагандинская,,городское население,,19.0
2015,процент,Карагандинская,,городское население,,18.9
2016,процент,Карагандинская,,городское население,,16.3
2017,процент,Карагандинская,,городское население,,15.2
2018,процент,Карагандинская,,городское население,,17.1
2012,процент,Костанайская,,городское население,,11.1
2013,процент,Костанайская,,городское население,,12.7
2014,процент,Костанайская,,городское население,,13.0
2015,процент,Костанайская,,городское население,,22.1
2016,процент,Костанайская,,городское население,,18.0
2017,процент,Костанайская,,городское население,,8.4
2018,процент,Костанайская,,городское население,,5.4
2012,процент,Кызылординская,,городское население,,10.6
2013,процент,Кызылординская,,городское население,,10.4
2014,процент,Кызылординская,,городское население,,13.1
2015,процент,Кызылординская,,городское население,,15.6
2016,процент,Кызылординская,,городское население,,11.4
2017,процент,Кызылординская,,городское население,,9.0
2018,процент,Кызылординская,,городское население,,6.6
2012,процент,Мангистауская,,городское население,,2.1
2013,процент,Мангистауская,,городское население,,6.6
2014,процент,Мангистауская,,городское население,,9.3
2015,процент,Мангистауская,,городское население,,7.4
2016,процент,Мангистауская,,городское население,,2.4
2017,процент,Мангистауская,,городское население,,2.0
2018,процент,Мангистауская,,городское население,,2.7
2012,процент,Южно-Казахстанская,,городское население,,23.7
2013,процент,Южно-Казахстанская,,городское население,,17.9
2014,процент,Южно-Казахстанская,,городское население,,20.8
2015,процент,Южно-Казахстанская,,городское население,,13.7
2016,процент,Южно-Казахстанская,,городское население,,12.1
2017,процент,Южно-Казахстанская,,городское население,,4.8
2012,процент,Павлодарская,,городское население,,15.3
2013,процент,Павлодарская,,городское население,,15.4
2014,процент,Павлодарская,,городское население,,14.8
2015,процент,Павлодарская,,городское население,,10.4
2016,процент,Павлодарская,,городское население,,13.2
2017,процент,Павлодарская,,городское население,,9.7
2018,процент,Павлодарская,,городское население,,3.1
2012,процент,Северо-Казахстанская,,городское население,,18.3
2013,процент,Северо-Казахстанская,,городское население,,18.5
2014,процент,Северо-Казахстанская,,городское население,,23.6
2015,процент,Северо-Казахстанская,,городское население,,19.3
2016,процент,Северо-Казахстанская,,городское население,,12.6
2017,процент,Северо-Казахстанская,,городское население,,6.7
2018,процент,Северо-Казахстанская,,городское население,,6.9
2018,процент,Туркестанская,,городское население,,6.8
2012,процент,Восточно-Казахстанская,,городское население,,16.7
2013,процент,Восточно-Казахстанская,,городское население,,13.5
2014,процент,Восточно-Казахстанская,,городское население,,19.5
2015,процент,Восточно-Казахстанская,,городское население,,14.6
2016,процент,Восточно-Казахстанская,,городское население,,10.4
2017,процент,Восточно-Казахстанская,,городское население,,7.4
2018,процент,Восточно-Казахстанская,,городское население,,4.4
2012,процент,г.Нур-Султан,,городское население,,13.3
2013,процент,г.Нур-Султан,,городское население,,4.8
2014,процент,г.Нур-Султан,,городское население,,23.1
2015,процент,г.Нур-Султан,,городское население,,26.7
2016,процент,г.Нур-Султан,,городское население,,17.3
2017,процент,г.Нур-Султан,,городское население,,24.6
2018,процент,г.Нур-Султан,,городское население,,16.6
2012,процент,г.Алматы,,городское население,,9.9
2013,процент,г.Алматы,,городское население,,10.5
2014,процент,г.Алматы,,городское население,,14.8
2015,процент,г.Алматы,,городское население,,11.4
2016,процент,г.Алматы,,городское население,,17.2
2017,процент,г.Алматы,,городское население,,10.5
2018,процент,г.Алматы,,городское население,,10.9
2018,процент,г.Шымкент,,городское население,,4.4
2012,процент,Республика Казахстан,,сельское население,,12.1
2013,процент,Республика Казахстан,,сельское население,,13.1
2014,процент,Республика Казахстан,,сельское население,,13.7
2015,процент,Республика Казахстан,,сельское население,,12.2
2016,процент,Республика Казахстан,,сельское население,,9.1
2017,процент,Республика Казахстан,,сельское население,,8.1
2018,процент,Республика Казахстан,,сельское население,,6.5
2012,процент,Акмолинская,,сельское население,,7.9
2013,процент,Акмолинская,,сельское население,,11.5
2014,процент,Акмолинская,,сельское население,,14.2
2015,процент,Акмолинская,,сельское население,,11.3
2016,процент,Акмолинская,,сельское население,,10.3
2017,процент,Акмолинская,,сельское население,,10.8
2018,процент,Акмолинская,,сельское население,,6.0
2012,процент,Актюбинская,,сельское население,,14.2
2013,процент,Актюбинская,,сельское население,,14.7
2014,процент,Актюбинская,,сельское население,,12.3
2015,процент,Актюбинская,,сельское население,,9.4
2016,процент,Актюбинская,,сельское население,,8.0
2017,процент,Актюбинская,,сельское население,,3.0
2018,процент,Актюбинская,,сельское население,,4.7
2012,процент,Алматинская,,сельское население,,19.8
2013,процент,Алматинская,,сельское население,,18.7
2014,процент,Алматинская,,сельское население,,17.1
2015,процент,Алматинская,,сельское население,,20.5
2016,процент,Алматинская,,сельское население,,14.4
2017,процент,Алматинская,,сельское население,,13.4
2018,процент,Алматинская,,сельское население,,10.2
2012,процент,Атырауская,,сельское население,,9.3
2013,процент,Атырауская,,сельское население,,7.3
2014,процент,Атырауская,,сельское население,,7.4
2015,процент,Атырауская,,сельское население,,7.2
2016,процент,Атырауская,,сельское население,,4.4
2017,процент,Атырауская,,сельское население,,5.9
2018,процент,Атырауская,,сельское население,,5.0
2012,процент,Западно-Казахстанская,,сельское население,,2.0
2013,процент,Западно-Казахстанская,,сельское население,,7.6
2014,процент,Западно-Казахстанская,,сельское население,,12.3
2015,процент,Западно-Казахстанская,,сельское население,,12.4
2016,процент,Западно-Казахстанская,,сельское население,,11.1
2017,процент,Западно-Казахстанская,,сельское население,,10.8
2018,процент,Западно-Казахстанская,,сельское население,,11.6
2012,процент,Жамбылская,,сельское население,,8.0
2013,процент,Жамбылская,,сельское население,,19.7
2014,процент,Жамбылская,,сельское население,,14.5
2015,процент,Жамбылская,,сельское население,,15.7
2016,процент,Жамбылская,,сельское население,,16.0
2017,процент,Жамбылская,,сельское население,,10.7
2018,процент,Жамбылская,,сельское население,,9.7
2012,процент,Карагандинская,,сельское население,,7.9
2013,процент,Карагандинская,,сельское население,,6.2
2014,процент,Карагандинская,,сельское население,,12.0
2015,процент,Карагандинская,,сельское население,,9.5
2016,процент,Карагандинская,,сельское население,,8.8
2017,процент,Карагандинская,,сельское население,,8.6
2018,процент,Карагандинская,,сельское население,,8.2
2012,процент,Костанайская,,сельское население,,8.8
2013,процент,Костанайская,,сельское население,,9.5
2014,процент,Костанайская,,сельское население,,13.0
2015,процент,Костанайская,,сельское население,,11.1
2016,процент,Костанайская,,сельское население,,11.9
2017,процент,Костанайская,,сельское население,,10.3
2018,процент,Костанайская,,сельское население,,9.8
2012,процент,Кызылординская,,сельское население,,15.5
2013,процент,Кызылординская,,сельское население,,12.0
2014,процент,Кызылординская,,сельское население,,15.3
2015,процент,Кызылординская,,сельское население,,19.7
2016,процент,Кызылординская,,сельское население,,8.9
2017,процент,Кызылординская,,сельское население,,7.6
2018,процент,Кызылординская,,сельское население,,6.7
2012,процент,Мангистауская,,сельское население,,2.8
2013,процент,Мангистауская,,сельское население,,4.3
2014,процент,Мангистауская,,сельское население,,3.3
2015,процент,Мангистауская,,сельское население,,2.5
2016,процент,Мангистауская,,сельское население,,2.5
2017,процент,Мангистауская,,сельское население,,2.5
2018,процент,Мангистауская,,сельское население,,3.0
2012,процент,Южно-Казахстанская,,сельское население,,13.6
2013,процент,Южно-Казахстанская,,сельское население,,13.6
2014,процент,Южно-Казахстанская,,сельское население,,14.2
2015,процент,Южно-Казахстанская,,сельское население,,6.2
2016,процент,Южно-Казахстанская,,сельское население,,4.4
2017,процент,Южно-Казахстанская,,сельское население,,4.8
2012,процент,Павлодарская,,сельское население,,13.2
2013,процент,Павлодарская,,сельское население,,12.0
2014,процент,Павлодарская,,сельское население,,17.7
2015,процент,Павлодарская,,сельское население,,10.1
2016,процент,Павлодарская,,сельское население,,12.2
2017,процент,Павлодарская,,сельское население,,7.5
2018,процент,Павлодарская,,сельское население,,2.8
2012,процент,Северо-Казахстанская,,сельское население,,6.9
2013,процент,Северо-Казахстанская,,сельское население,,8.1
2014,процент,Северо-Казахстанская,,сельское население,,8.7
2015,процент,Северо-Казахстанская,,сельское население,,7.1
2016,процент,Северо-Казахстанская,,сельское население,,6.5
2017,процент,Северо-Казахстанская,,сельское население,,6.0
2018,процент,Северо-Казахстанская,,сельское население,,5.2
2018,процент,Туркестанская,,сельское население,,3.7
2012,процент,Восточно-Казахстанская,,сельское население,,14.0
2013,процент,Восточно-Казахстанская,,сельское население,,14.9
2014,процент,Восточно-Казахстанская,,сельское население,,15.1
2015,процент,Восточно-Казахстанская,,сельское население,,12.9
2016,процент,Восточно-Казахстанская,,сельское население,,5.6
2017,процент,Восточно-Казахстанская,,сельское население,,4.5
2018,процент,Восточно-Казахстанская,,сельское население,,2.1
2012,процент,Республика Казахстан,,,,0.0
2013,процент,Республика Казахстан,,,,0.0
2014,процент,Республика Казахстан,,,,21.3
2015,процент,Республика Казахстан,,,,79.2
2016,процент,Республика Казахстан,,,,0.0
2017,процент,Республика Казахстан,,,,0.0
2018,процент,Республика Казахстан,,,,0.0
2012,процент,Республика Казахстан,,,16-24,18.7
2013,процент,Республика Казахстан,,,16-24,17.0
2014,процент,Республика Казахстан,,,16-24,20.5
2015,процент,Республика Казахстан,,,16-24,17.4
2016,процент,Республика Казахстан,,,16-24,16.3
2017,процент,Республика Казахстан,,,16-24,11.8
2018,процент,Республика Казахстан,,,16-24,10.5
2012,процент,Республика Казахстан,,,25-28,13.2
