Year,Units,Sex,Category,Value
2018,per 100000 population,Female,Lung cancer in adults (estimated above 25 years),5.8
2018,per 100000 population,Male,Lung cancer in adults (estimated above 25 years),27.1
2018,per 100000 population,Total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),68.2
2018,per 100000 population,Female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),61.5
2018,per 100000 population,Male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),75.7
2018,per 100000 population,Total,Cerebrovascular (stroke) in adults (estimated above 25 years),7.2
2018,per 100000 population,Female,Cerebrovascular (stroke) in adults (estimated above 25 years),7.4
2018,per 100000 population,Male,Cerebrovascular (stroke) in adults (estimated above 25 years),7.0
2018,per 100000 population,Total,Acute  respiratory infections in young children  (estimated under 5 years of age),0
2018,per 100000 population,Female,Acute  respiratory infections in young children  (estimated under 5 years of age),0
2018,per 100000 population,Male,Acute  respiratory infections in young children  (estimated under 5 years of age),0
2018,per 100000 population,Total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.8
2018,per 100000 population,Female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.2
2018,per 100000 population,Male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),6.6
2019,per 100000 population,Total,Lung cancer in adults (estimated above 25 years),18.7
2019,per 100000 population,Female,Lung cancer in adults (estimated above 25 years),7.2
2019,per 100000 population,Male,Lung cancer in adults (estimated above 25 years),31.6
2019,per 100000 population,Total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),68.7
2019,per 100000 population,Female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),61.5
2019,per 100000 population,Male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),76.8
2019,per 100000 population,Total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.1
2019,per 100000 population,Female,Cerebrovascular (stroke) in adults (estimated above 25 years),1.8
2019,per 100000 population,Male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.5
2019,per 100000 population,Total,Acute  respiratory infections in young children  (estimated under 5 years of age),0
2019,per 100000 population,Female,Acute  respiratory infections in young children  (estimated under 5 years of age),0
2019,per 100000 population,Male,Acute  respiratory infections in young children  (estimated under 5 years of age),0
2019,per 100000 population,Total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.3
2019,per 100000 population,Female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.0
2019,per 100000 population,Male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.7
2020,per 100000 population,Total,Lung cancer in adults (estimated above 25 years),19.6
2020,per 100000 population,Female,Lung cancer in adults (estimated above 25 years),8.6
2020,per 100000 population,Male,Lung cancer in adults (estimated above 25 years),31.9
2020,per 100000 population,Total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),93.7
2020,per 100000 population,Female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),83.2
2020,per 100000 population,Male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),105.3
2020,per 100000 population,Total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.3
2020,per 100000 population,Female,Cerebrovascular (stroke) in adults (estimated above 25 years),2.0
2020,per 100000 population,Male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.6
2020,per 100000 population,Total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2020,per 100000 population,Female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2020,per 100000 population,Male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2020,per 100000 population,Total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.4
2020,per 100000 population,Female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.9
2020,per 100000 population,Male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),7.1
