Year,Units,Расходы бюджета,Value
2010,процент,Образование,121.36459780263418
2011,процент,Образование,115.33406068276095
2012,процент,Образование,97.74058476617924
2013,процент,Образование,96.52445852722816
2014,процент,Образование,100.6384060266587
2015,процент,Образование,82.86432000661733
2016,процент,Образование,118.96053229206818
2017,процент,Образование,106.76364836808578
2018,процент,Образование,123.61234591784016
2010,процент,Здравоохранение,103.48691447927096
2011,процент,Здравоохранение,99.15573129029207
2012,процент,Здравоохранение,106.18830880280483
2013,процент,Здравоохранение,96.92663065840196
2014,процент,Здравоохранение,99.68881806176006
2015,процент,Здравоохранение,93.84356396661614
2016,процент,Здравоохранение,112.72156068202763
2017,процент,Здравоохранение,99.9447778666347
2018,процент,Здравоохранение,100.3992536456742
2010,процент,Социальная помощь и социальное обеспечение,90.66749306347099
2011,процент,Социальная помощь и социальное обеспечение,100.31793171062182
2012,процент,Социальная помощь и социальное обеспечение,95.59595275484581
2013,процент,Социальная помощь и социальное обеспечение,95.82849787508364
2014,процент,Социальная помощь и социальное обеспечение,98.42002987495178
2015,процент,Социальная помощь и социальное обеспечение,94.40480699798678
2016,процент,Социальная помощь и социальное обеспечение,99.47118342344807
2017,процент,Социальная помощь и социальное обеспечение,103.72256742235682
2018,процент,Социальная помощь и социальное обеспечение,98.65227522244868
2010,процент,Жилищно-комунальная хозяйство,139.23337153447807
2011,процент,Жилищно-комунальная хозяйство,164.73440575859877
2012,процент,Жилищно-комунальная хозяйство,129.633311165934
2013,процент,Жилищно-комунальная хозяйство,133.50544602852744
2014,процент,Жилищно-комунальная хозяйство,127.71001831587168
2015,процент,Жилищно-комунальная хозяйство,80.90945658924485
2016,процент,Жилищно-комунальная хозяйство,167.10793359606802
2017,процент,Жилищно-комунальная хозяйство,104.52064051692678
2018,процент,Жилищно-комунальная хозяйство,120.07866113401649
2010,процент,"Культура, спорт, туризм и информационное пространство",180.0928776818431
2011,процент,"Культура, спорт, туризм и информационное пространство",157.55274872170807
2012,процент,"Культура, спорт, туризм и информационное пространство",102.23244610591074
2013,процент,"Культура, спорт, туризм и информационное пространство",106.68859926057885
2014,процент,"Культура, спорт, туризм и информационное пространство",92.86933742183278
2015,процент,"Культура, спорт, туризм и информационное пространство",88.09293120660637
2016,процент,"Культура, спорт, туризм и информационное пространство",125.9603926458934
2017,процент,"Культура, спорт, туризм и информационное пространство",139.95004979670492
2018,процент,"Культура, спорт, туризм и информационное пространство",124.71816700927153
2010,процент,Топливно-энергетический комплекс недропользования,111.96780454237405
2011,процент,Топливно-энергетический комплекс недропользования,129.27669897143582
2012,процент,Топливно-энергетический комплекс недропользования,110.30472044892356
2013,процент,Топливно-энергетический комплекс недропользования,101.94133903343776
2014,процент,Топливно-энергетический комплекс недропользования,98.2532702759156
2015,процент,Топливно-энергетический комплекс недропользования,104.62699947370464
2016,процент,Топливно-энергетический комплекс недропользования,136.44927531720586
2017,процент,Топливно-энергетический комплекс недропользования,179.43435814574283
2018,процент,Топливно-энергетический комплекс недропользования,111.65499091321766
2010,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",118.70395526157971
2011,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",119.30751267681529
2012,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",95.35995804132122
2013,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",96.53643048921877
2014,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",111.58569174176267
2015,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",105.45905297434504
2016,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",157.82245884830505
2017,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",134.19851782833072
2018,процент,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",139.04173829785043
2010,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",94.5508959413938
2011,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",94.68650585534716
2012,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",101.76473326094799
2013,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",96.27237997216162
2014,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",120.78114879842626
2015,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",87.14829624052425
2016,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",106.77483890240447
2017,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",418.5977615951045
2018,процент,"Промышленность, архитектураная, градостраительная и строительная деятельность",245.26065399643593
2010,процент,Транспорт и коммуникация,118.21332360945347
2011,процент,Транспорт и коммуникация,105.79830038464533
2012,процент,Транспорт и коммуникация,96.77354277080963
2013,процент,Транспорт и коммуникация,102.42075941094213
2014,процент,Транспорт и коммуникация,97.4296041766556
2015,процент,Транспорт и коммуникация,88.25998177248557
2016,процент,Транспорт и коммуникация,121.63578611086866
2017,процент,Транспорт и коммуникация,116.94862367744143
2018,процент,Транспорт и коммуникация,99.31347097709923
2010,процент,Прочие,201.54624312425972
2011,процент,Прочие,164.21777306981426
2012,процент,Прочие,234.28456065333455
2013,процент,Прочие,68.22846072436299
2014,процент,Прочие,164.62325817743871
2015,процент,Прочие,51.17522628141029
2016,процент,Прочие,99.65626329985886
2017,процент,Прочие,651.2480788074346
2018,процент,Прочие,98.20907504437625
2010,процент,Обслуживание долга,78.16694076545454
2011,процент,Обслуживание долга,91.76581949891779
2012,процент,Обслуживание долга,73.5689202408592
2013,процент,Обслуживание долга,82.7343493196303
2014,процент,Обслуживание долга,97.43988150637733
2015,процент,Обслуживание долга,97.9440750035439
2016,процент,Обслуживание долга,115.89086100184456
2017,процент,Обслуживание долга,87.73460401606549
2018,процент,Обслуживание долга,97.60866206263896
2010,процент,Трансферты,100.0
2011,процент,Трансферты,100.0
2012,процент,Трансферты,100.0
2013,процент,Трансферты,100.0
2014,процент,Трансферты,100.0
2015,процент,Трансферты,100.0
2016,процент,Трансферты,100.0502858705636
2017,процент,Трансферты,100.63400301713732
2018,процент,Трансферты,100.53680004668576
