Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,GeoCode,Value
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,9.31
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,8.32
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,8.14
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,6.66
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,6.61
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,16.44
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,14.99
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,13.62
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,13.53
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,10.52
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,11.05
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,8.8
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,8.21
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,KZ17,7.39
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,14.94
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,11.0
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,12.05
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,9.53
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,9.0
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,8.63
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,8.12
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,7.89
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,KZ12,7.59
2010,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,14.05
2011,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,13.25
2012,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,14.85
2013,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,12.19
2014,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,11.63
2015,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,10.57
2016,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,9.07
2017,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,10.42
2018,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,KZ13,10.3
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,22.81
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,19.3
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,19.0
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,14.53
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,12.51
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,10.66
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,9.83
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,8.61
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,KZ14,9.09
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,18.6
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,17.27
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,12.92
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,9.58
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,9.12
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,9.19
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,9.48
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,7.7
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,KZ09,9.81
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,19.54
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,16.75
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,15.13
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,13.37
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,11.49
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,11.17
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,9.98
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,9.36
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,KZ10,8.529100007395174
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,12.81
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,13.41
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,9.09
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,8.73
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,8.35
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,6.95
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,7.99
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,7.67
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,KZ11,5.55
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,13.84
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,11.99
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,11.01
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,10.83
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,8.62
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,7.85
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,7.11
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,9.01
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,KZ16,10.81
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,19.91
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,17.93
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,16.19
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,13.47
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,11.18
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,9.77
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,9.51
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,7.28
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,KZ15,7.99
2010,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,11.41
2011,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,11.23
2012,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,11.51
2013,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,9.33
2014,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,6.96
2015,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,7.61
2016,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,6.75
2017,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,5.92
2018,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,KZ05,6.17
2010,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,17.08
2011,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,17.05
2012,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,12.6
2013,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,10.5
2014,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,8.27
2015,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,8.99
2016,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,7.58
2017,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,6.93
2018,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,KZ02,8.36
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,16.75
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,15.45
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,13.61
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,11.46
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,10.07
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,9.66
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,8.45
2017,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,7.48
2018,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,,,,7.9
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,14.12
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,17.67
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,13.29
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,13.91
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,8.88
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,9.04
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,6.84
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,5.9
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,,,,KZ03,6.2
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,17.68
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,11.12
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,15.22
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,11.59
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,10.68
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,9.23
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,8.52
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,6.44
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,,,,KZ04,9.06
2010,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,15.73
2011,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,14.12
2012,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,12.36
2013,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,9.8
2014,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,8.09
2015,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,8.63
2016,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,8.4
2017,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,6.61
2018,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,,,,KZ01,6.85
2010,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,14.53
2011,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,15.97
2012,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,17.16
2013,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,9.0
2014,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,8.45
2015,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,7.57
2016,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,9.22
2017,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,7.71
2018,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,,,,KZ06,9.67
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,12.59
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,10.41
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,8.1
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,7.88
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,9.87
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,8.9
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,7.89
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,7.04
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,,,,KZ07,6.62
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,16.96
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,17.05
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,13.17
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,18.37
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,14.65
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,15.6
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,11.05
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,9.42
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,,,,KZ17,7.13
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,15.21
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,10.42
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,11.81
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,8.94
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,8.4
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,8.44
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,8.19
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,8.23
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,,,,KZ12,7.39
2010,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,13.08
2011,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,13.3
2012,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,13.91
2013,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,11.58
2014,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,10.96
2015,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,11.89
2016,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,8.95
2017,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,9.4
2018,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,,,,KZ13,9.97
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,22.87
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,18.02
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,17.97
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,14.44
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,13.8
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,12.96
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,12.56
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,8.81
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,,,,KZ14,10.5
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,18.86
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,18.36
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,12.06
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,9.11
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,9.98
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,7.71
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,8.77
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,6.06
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,,,,KZ09,8.59
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,21.44
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,21.27
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,16.49
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,14.37
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,13.28
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,11.49
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,9.08
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,8.98
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,,,,KZ10,8.295936931473621
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,12.81
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,12.09
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,8.98
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,8.19
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,7.69
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,6.7
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,7.58
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,8.29
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,,,,KZ11,6.01
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,12.61
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,10.27
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,11.24
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,11.66
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,8.0
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,7.73
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,5.55
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,8.93
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,,,,KZ16,10.38
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,19.44
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,17.5
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,16.52
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,12.91
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,11.59
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,10.28
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,9.02
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,6.05
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,,,,KZ15,7.75
2010,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,11.41
2011,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,11.23
2012,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,11.51
2013,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,9.33
2014,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,6.96
2015,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,7.61
2016,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,6.75
2017,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,5.92
2018,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,,,,KZ05,6.17
2010,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,17.08
2011,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,17.05
2012,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,12.6
2013,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,10.5
2014,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,8.27
2015,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,8.99
2016,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,7.58
2017,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,6.93
2018,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,,,,KZ02,8.36
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,16.43
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,14.29
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,13.48
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,11.31
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,9.53
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,9.08
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,,,,8.77
