Year,Units,Регионы,Пол,Местность,Возраст,GeoCode,Value
2010,процент,Карагандинская,,,,KZ12,19.6
2011,процент,Карагандинская,,,,KZ12,19.0
2012,процент,Карагандинская,,,,KZ12,17.5
2013,процент,Карагандинская,,,,KZ12,16.9
2014,процент,Карагандинская,,,,KZ12,14.5
2015,процент,Карагандинская,,,,KZ12,14.4
2016,процент,Карагандинская,,,,KZ12,14.1
2017,процент,Карагандинская,,,,KZ12,13.9
2018,процент,Карагандинская,,,,KZ12,13.8
2010,процент,Костанайская,,,,KZ13,4.4
2011,процент,Костанайская,,,,KZ13,4.6
2012,процент,Костанайская,,,,KZ13,4.6
2013,процент,Костанайская,,,,KZ13,4.7
2014,процент,Костанайская,,,,KZ13,4.5
2015,процент,Костанайская,,,,KZ13,4.7
2016,процент,Костанайская,,,,KZ13,4.7
2017,процент,Костанайская,,,,KZ13,4.9
2018,процент,Костанайская,,,,KZ13,5.1
2010,процент,Кызылординская,,,,KZ14,4.4
2011,процент,Кызылординская,,,,KZ14,4.2
2012,процент,Кызылординская,,,,KZ14,3.2
2013,процент,Кызылординская,,,,KZ14,2.5
2014,процент,Кызылординская,,,,KZ14,3.3
2015,процент,Кызылординская,,,,KZ14,3.2
2016,процент,Кызылординская,,,,KZ14,4.0
2017,процент,Кызылординская,,,,KZ14,3.7
2018,процент,Кызылординская,,,,KZ14,3.6
2010,процент,Мангистауская,,,,KZ09,4.6
2011,процент,Мангистауская,,,,KZ09,7.0
2012,процент,Мангистауская,,,,KZ09,6.2
2013,процент,Мангистауская,,,,KZ09,5.4
2014,процент,Мангистауская,,,,KZ09,5.8
2015,процент,Мангистауская,,,,KZ09,6.6
2016,процент,Мангистауская,,,,KZ09,7.0
2017,процент,Мангистауская,,,,KZ09,6.1
2018,процент,Мангистауская,,,,KZ09,5.8
2010,процент,Южно-Казахстанская,,,,KZ10,3.4
2011,процент,Южно-Казахстанская,,,,KZ10,2.7
2012,процент,Южно-Казахстанская,,,,KZ10,2.6
2013,процент,Южно-Казахстанская,,,,KZ10,2.9
2014,процент,Южно-Казахстанская,,,,KZ10,4.4
2015,процент,Южно-Казахстанская,,,,KZ10,3.5
2016,процент,Южно-Казахстанская,,,,KZ10,3.5
2017,процент,Южно-Казахстанская,,,,KZ10,3.7
2010,процент,Павлодарская,,,,KZ11,13.1
2011,процент,Павлодарская,,,,KZ11,13.5
2012,процент,Павлодарская,,,,KZ11,13.6
2013,процент,Павлодарская,,,,KZ11,13.6
2014,процент,Павлодарская,,,,KZ11,13.9
2015,процент,Павлодарская,,,,KZ11,14.2
2016,процент,Павлодарская,,,,KZ11,14.7
2017,процент,Павлодарская,,,,KZ11,14.8
2018,процент,Павлодарская,,,,KZ11,14.9
2010,процент,Северо-Казахстанская,,,,KZ16,3.6
2011,процент,Северо-Казахстанская,,,,KZ16,3.6
2012,процент,Северо-Казахстанская,,,,KZ16,4.1
2013,процент,Северо-Казахстанская,,,,KZ16,4.2
2014,процент,Северо-Казахстанская,,,,KZ16,4.2
2015,процент,Северо-Казахстанская,,,,KZ16,4.4
2016,процент,Северо-Казахстанская,,,,KZ16,5.0
2017,процент,Северо-Казахстанская,,,,KZ16,4.7
2018,процент,Северо-Казахстанская,,,,KZ16,5.2
2018,процент,Туркестанская,,,,KZ10,2.1
2010,процент,Восточно-Казахстанская,,,,KZ15,9.1
2011,процент,Восточно-Казахстанская,,,,KZ15,8.9
2012,процент,Восточно-Казахстанская,,,,KZ15,9.5
2013,процент,Восточно-Казахстанская,,,,KZ15,9.6
2014,процент,Восточно-Казахстанская,,,,KZ15,9.8
2015,процент,Восточно-Казахстанская,,,,KZ15,10.3
2016,процент,Восточно-Казахстанская,,,,KZ15,10.9
2017,процент,Восточно-Казахстанская,,,,KZ15,10.4
2018,процент,Восточно-Казахстанская,,,,KZ15,10.4
2010,процент,г_Нур-Султан,,,,KZ05,5.2
2011,процент,г_Нур-Султан,,,,KZ05,2.2
2012,процент,г_Нур-Султан,,,,KZ05,2.9
2013,процент,г_Нур-Султан,,,,KZ05,3.0
2014,процент,г_Нур-Султан,,,,KZ05,2.7
2015,процент,г_Нур-Султан,,,,KZ05,3.9
2016,процент,г_Нур-Султан,,,,KZ05,3.9
2017,процент,г_Нур-Султан,,,,KZ05,4.6
2018,процент,г_Нур-Султан,,,,KZ05,4.6
2010,процент,г_Алматы,,,,KZ02,8.6
2011,процент,г_Алматы,,,,KZ02,7.6
2012,процент,г_Алматы,,,,KZ02,7.3
2013,процент,г_Алматы,,,,KZ02,8.1
2014,процент,г_Алматы,,,,KZ02,6.5
2015,процент,г_Алматы,,,,KZ02,7.3
2016,процент,г_Алматы,,,,KZ02,7.0
2017,процент,г_Алматы,,,,KZ02,6.8
2018,процент,г_Алматы,,,,KZ02,6.7
2018,процент,г_Шымкент,,,,KZ18,5.8
2010,процент,,мужчины,,,,8.5
2011,процент,,мужчины,,,,8.0
2012,процент,,мужчины,,,,7.7
2013,процент,,мужчины,,,,7.8
2014,процент,,мужчины,,,,7.6
2015,процент,,мужчины,,,,7.9
2016,процент,,мужчины,,,,7.7
2017,процент,,мужчины,,,,8.1
2018,процент,,мужчины,,,,8.3
2010,процент,Акмолинская,мужчины,,,,7.9
2011,процент,Акмолинская,мужчины,,,,8.3
2012,процент,Акмолинская,мужчины,,,,7.6
2013,процент,Акмолинская,мужчины,,,,7.8
2014,процент,Акмолинская,мужчины,,,,7.3
2015,процент,Акмолинская,мужчины,,,,7.4
2016,процент,Акмолинская,мужчины,,,,7.1
2017,процент,Акмолинская,мужчины,,,,8.6
2018,процент,Акмолинская,мужчины,,,,9.2
2010,процент,Актюбинская,мужчины,,,,5.9
2011,процент,Актюбинская,мужчины,,,,8.4
2012,процент,Актюбинская,мужчины,,,,7.8
2013,процент,Актюбинская,мужчины,,,,7.7
2014,процент,Актюбинская,мужчины,,,,8.0
2015,процент,Актюбинская,мужчины,,,,8.2
2016,процент,Актюбинская,мужчины,,,,8.9
2017,процент,Актюбинская,мужчины,,,,9.6
2018,процент,Актюбинская,мужчины,,,,9.8
2010,процент,Алматинская,мужчины,,,,5.8
2011,процент,Алматинская,мужчины,,,,4.6
2012,процент,Алматинская,мужчины,,,,4.3
2013,процент,Алматинская,мужчины,,,,4.1
2014,процент,Алматинская,мужчины,,,,4.8
2015,процент,Алматинская,мужчины,,,,5.5
2016,процент,Алматинская,мужчины,,,,5.2
2017,процент,Алматинская,мужчины,,,,6.7
2018,процент,Алматинская,мужчины,,,,6.7
2010,процент,Атырауская,мужчины,,,,4.7
2011,процент,Атырауская,мужчины,,,,4.0
2012,процент,Атырауская,мужчины,,,,7.3
2013,процент,Атырауская,мужчины,,,,7.9
2014,процент,Атырауская,мужчины,,,,4.8
2015,процент,Атырауская,мужчины,,,,6.3
2016,процент,Атырауская,мужчины,,,,4.7
2017,процент,Атырауская,мужчины,,,,3.2
2018,процент,Атырауская,мужчины,,,,4.3
2010,процент,Западно-Казахстанская,мужчины,,,,4.1
2011,процент,Западно-Казахстанская,мужчины,,,,4.2
2012,процент,Западно-Казахстанская,мужчины,,,,4.8
2013,процент,Западно-Казахстанская,мужчины,,,,5.2
2014,процент,Западно-Казахстанская,мужчины,,,,6.0
2015,процент,Западно-Казахстанская,мужчины,,,,5.7
2016,процент,Западно-Казахстанская,мужчины,,,,5.8
2017,процент,Западно-Казахстанская,мужчины,,,,5.4
2018,процент,Западно-Казахстанская,мужчины,,,,5.6
2010,процент,Жамбылская,мужчины,,,,5.1
2011,процент,Жамбылская,мужчины,,,,5.4
2012,процент,Жамбылская,мужчины,,,,4.6
2013,процент,Жамбылская,мужчины,,,,4.2
2014,процент,Жамбылская,мужчины,,,,4.7
2015,процент,Жамбылская,мужчины,,,,4.9
2016,процент,Жамбылская,мужчины,,,,4.7
2017,процент,Жамбылская,мужчины,,,,6.5
2018,процент,Жамбылская,мужчины,,,,7.1
2010,процент,Карагандинская,мужчины,,,,27.0
2011,процент,Карагандинская,мужчины,,,,25.5
2012,процент,Карагандинская,мужчины,,,,22.8
2013,процент,Карагандинская,мужчины,,,,21.9
2014,процент,Карагандинская,мужчины,,,,18.3
2015,процент,Карагандинская,мужчины,,,,17.8
2016,процент,Карагандинская,мужчины,,,,17.4
2017,процент,Карагандинская,мужчины,,,,17.6
2018,процент,Карагандинская,мужчины,,,,17.4
2010,процент,Костанайская,мужчины,,,,4.8
2011,процент,Костанайская,мужчины,,,,5.0
2012,процент,Костанайская,мужчины,,,,5.1
2013,процент,Костанайская,мужчины,,,,5.1
2014,процент,Костанайская,мужчины,,,,4.8
2015,процент,Костанайская,мужчины,,,,5.1
2016,процент,Костанайская,мужчины,,,,5.1
2017,процент,Костанайская,мужчины,,,,6.0
2018,процент,Костанайская,мужчины,,,,6.2
2010,процент,Кызылординская,мужчины,,,,4.0
2011,процент,Кызылординская,мужчины,,,,4.0
2012,процент,Кызылординская,мужчины,,,,3.9
2013,процент,Кызылординская,мужчины,,,,3.0
2014,процент,Кызылординская,мужчины,,,,2.7
2015,процент,Кызылординская,мужчины,,,,2.5
2016,процент,Кызылординская,мужчины,,,,3.9
2017,процент,Кызылординская,мужчины,,,,3.6
2018,процент,Кызылординская,мужчины,,,,4.4
2010,процент,Мангистауская,мужчины,,,,4.2
2011,процент,Мангистауская,мужчины,,,,7.7
2012,процент,Мангистауская,мужчины,,,,5.4
2013,процент,Мангистауская,мужчины,,,,7.1
2014,процент,Мангистауская,мужчины,,,,7.3
2015,процент,Мангистауская,мужчины,,,,7.4
2016,процент,Мангистауская,мужчины,,,,8.4
2017,процент,Мангистауская,мужчины,,,,8.1
2018,процент,Мангистауская,мужчины,,,,6.8
2010,процент,Южно-Казахстанская,мужчины,,,,4.5
2011,процент,Южно-Казахстанская,мужчины,,,,3.4
2012,процент,Южно-Казахстанская,мужчины,,,,3.0
2013,процент,Южно-Казахстанская,мужчины,,,,3.4
2014,процент,Южно-Казахстанская,мужчины,,,,4.7
2015,процент,Южно-Казахстанская,мужчины,,,,4.1
2016,процент,Южно-Казахстанская,мужчины,,,,4.0
2017,процент,Южно-Казахстанская,мужчины,,,,4.4
2010,процент,Павлодарская,мужчины,,,,15.9
2011,процент,Павлодарская,мужчины,,,,16.3
2012,процент,Павлодарская,мужчины,,,,17.7
2013,процент,Павлодарская,мужчины,,,,18.5
2014,процент,Павлодарская,мужчины,,,,18.9
2015,процент,Павлодарская,мужчины,,,,20.5
2016,процент,Павлодарская,мужчины,,,,19.5
2017,процент,Павлодарская,мужчины,,,,19.0
2018,процент,Павлодарская,мужчины,,,,19.7
2010,процент,Северо-Казахстанская,мужчины,,,,4.7
2011,процент,Северо-Казахстанская,мужчины,,,,4.7
2012,процент,Северо-Казахстанская,мужчины,,,,5.2
2013,процент,Северо-Казахстанская,мужчины,,,,5.0
2014,процент,Северо-Казахстанская,мужчины,,,,5.0
2015,процент,Северо-Казахстанская,мужчины,,,,5.4
2016,процент,Северо-Казахстанская,мужчины,,,,5.5
2017,процент,Северо-Казахстанская,мужчины,,,,5.8
2018,процент,Северо-Казахстанская,мужчины,,,,6.8
2018,процент,Туркестанская,мужчины,,,,2.4
2010,процент,Восточно-Казахстанская,мужчины,,,,11.2
2011,процент,Восточно-Казахстанская,мужчины,,,,10.5
2012,процент,Восточно-Казахстанская,мужчины,,,,11.5
2013,процент,Восточно-Казахстанская,мужчины,,,,11.9
2014,процент,Восточно-Казахстанская,мужчины,,,,11.8
2015,процент,Восточно-Казахстанская,мужчины,,,,12.7
2016,процент,Восточно-Казахстанская,мужчины,,,,14.0
2017,процент,Восточно-Казахстанская,мужчины,,,,13.4
2018,процент,Восточно-Казахстанская,мужчины,,,,13.7
2010,процент,г_Нур-Султан,мужчины,,,,4.2
2011,процент,г_Нур-Султан,мужчины,,,,2.4
2012,процент,г_Нур-Султан,мужчины,,,,3.9
2013,процент,г_Нур-Султан,мужчины,,,,3.5
2014,процент,г_Нур-Султан,мужчины,,,,3.6
2015,процент,г_Нур-Султан,мужчины,,,,4.3
2016,процент,г_Нур-Султан,мужчины,,,,3.1
2017,процент,г_Нур-Султан,мужчины,,,,4.9
2018,процент,г_Нур-Султан,мужчины,,,,5.8
2010,процент,г_Алматы,мужчины,,,,11.2
2011,процент,г_Алматы,мужчины,,,,9.4
2012,процент,г_Алматы,мужчины,,,,7.6
2013,процент,г_Алматы,мужчины,,,,8.7
2014,процент,г_Алматы,мужчины,,,,6.9
2015,процент,г_Алматы,мужчины,,,,7.9
2016,процент,г_Алматы,мужчины,,,,7.2
2017,процент,г_Алматы,мужчины,,,,7.2
2018,процент,г_Алматы,мужчины,,,,8.1
2018,процент,г_Шымкент,мужчины,,,,5.7
2010,процент,,женщины,,,,5.4
2011,процент,,женщины,,,,4.9
2012,процент,,женщины,,,,5.0
2013,процент,,женщины,,,,4.9
2014,процент,,женщины,,,,4.9
2015,процент,,женщины,,,,5.1
2016,процент,,женщины,,,,5.5
2017,процент,,женщины,,,,5.3
2018,процент,,женщины,,,,4.9
2010,процент,Акмолинская,женщины,,,,6.7
2011,процент,Акмолинская,женщины,,,,6.3
2012,процент,Акмолинская,женщины,,,,6.8
2013,процент,Акмолинская,женщины,,,,6.9
2014,процент,Акмолинская,женщины,,,,6.7
2015,процент,Акмолинская,женщины,,,,7.1
2016,процент,Акмолинская,женщины,,,,7.8
2017,процент,Акмолинская,женщины,,,,6.7
2018,процент,Акмолинская,женщины,,,,6.4
2010,процент,Актюбинская,женщины,,,,5.5
2011,процент,Актюбинская,женщины,,,,2.5
2012,процент,Актюбинская,женщины,,,,2.9
2013,процент,Актюбинская,женщины,,,,3.7
2014,процент,Актюбинская,женщины,,,,4.2
2015,процент,Актюбинская,женщины,,,,4.0
2016,процент,Актюбинская,женщины,,,,5.1
2017,процент,Актюбинская,женщины,,,,4.3
2018,процент,Актюбинская,женщины,,,,3.9
2010,процент,Алматинская,женщины,,,,3.1
2011,процент,Алматинская,женщины,,,,3.0
2012,процент,Алматинская,женщины,,,,2.7
2013,процент,Алматинская,женщины,,,,2.7
2014,процент,Алматинская,женщины,,,,3.0
2015,процент,Алматинская,женщины,,,,3.5
2016,процент,Алматинская,женщины,,,,3.6
2017,процент,Алматинская,женщины,,,,4.3
2018,процент,Алматинская,женщины,,,,3.9
2010,процент,Атырауская,женщины,,,,2.9
2011,процент,Атырауская,женщины,,,,3.3
2012,процент,Атырауская,женщины,,,,3.3
2013,процент,Атырауская,женщины,,,,4.1
2014,процент,Атырауская,женщины,,,,2.7
2015,процент,Атырауская,женщины,,,,4.0
2016,процент,Атырауская,женщины,,,,3.9
2017,процент,Атырауская,женщины,,,,4.7
2018,процент,Атырауская,женщины,,,,3.6
2010,процент,Западно-Казахстанская,женщины,,,,2.5
2011,процент,Западно-Казахстанская,женщины,,,,2.9
2012,процент,Западно-Казахстанская,женщины,,,,2.6
2013,процент,Западно-Казахстанская,женщины,,,,3.1
2014,процент,Западно-Казахстанская,женщины,,,,3.3
2015,процент,Западно-Казахстанская,женщины,,,,3.2
2016,процент,Западно-Казахстанская,женщины,,,,4.7
2017,процент,Западно-Казахстанская,женщины,,,,4.9
2018,процент,Западно-Казахстанская,женщины,,,,4.7
2010,процент,Жамбылская,женщины,,,,3.6
2011,процент,Жамбылская,женщины,,,,3.3
2012,процент,Жамбылская,женщины,,,,4.4
2013,процент,Жамбылская,женщины,,,,2.8
2014,процент,Жамбылская,женщины,,,,1.7
2015,процент,Жамбылская,женщины,,,,1.6
2016,процент,Жамбылская,женщины,,,,2.9
2017,процент,Жамбылская,женщины,,,,3.3
2018,процент,Жамбылская,женщины,,,,2.6
2010,процент,Карагандинская,женщины,,,,12.1
2011,процент,Карагандинская,женщины,,,,12.3
2012,процент,Карагандинская,женщины,,,,11.9
2013,процент,Карагандинская,женщины,,,,11.7
2014,процент,Карагандинская,женщины,,,,10.3
2015,процент,Карагандинская,женщины,,,,10.6
2016,процент,Карагандинская,женщины,,,,10.4
2017,процент,Карагандинская,женщины,,,,9.7
2018,процент,Карагандинская,женщины,,,,9.6
2010,процент,Костанайская,женщины,,,,4.0
2011,процент,Костанайская,женщины,,,,4.2
2012,процент,Костанайская,женщины,,,,4.1
2013,процент,Костанайская,женщины,,,,4.2
2014,процент,Костанайская,женщины,,,,4.3
2015,процент,Костанайская,женщины,,,,4.4
2016,процент,Костанайская,женщины,,,,4.3
2017,процент,Костанайская,женщины,,,,3.7
2018,процент,Костанайская,женщины,,,,4.1
2010,процент,Кызылординская,женщины,,,,4.8
2011,процент,Кызылординская,женщины,,,,4.4
2012,процент,Кызылординская,женщины,,,,2.5
2013,процент,Кызылординская,женщины,,,,1.8
2014,процент,Кызылординская,женщины,,,,4.1
2015,процент,Кызылординская,женщины,,,,4.1
2016,процент,Кызылординская,женщины,,,,4.1
2017,процент,Кызылординская,женщины,,,,3.9
2018,процент,Кызылординская,женщины,,,,2.7
2010,процент,Мангистауская,женщины,,,,5.0
2011,процент,Мангистауская,женщины,,,,6.1
2012,процент,Мангистауская,женщины,,,,7.3
2013,процент,Мангистауская,женщины,,,,3.1
2014,процент,Мангистауская,женщины,,,,3.8
2015,процент,Мангистауская,женщины,,,,5.7
2016,процент,Мангистауская,женщины,,,,5.1
2017,процент,Мангистауская,женщины,,,,3.5
2018,процент,Мангистауская,женщины,,,,4.7
2010,процент,Южно-Казахстанская,женщины,,,,2.1
2011,процент,Южно-Казахстанская,женщины,,,,1.9
2012,процент,Южно-Казахстанская,женщины,,,,2.1
2013,процент,Южно-Казахстанская,женщины,,,,2.2
2014,процент,Южно-Казахстанская,женщины,,,,3.9
2015,процент,Южно-Казахстанская,женщины,,,,2.9
2016,процент,Южно-Казахстанская,женщины,,,,2.8
2017,процент,Южно-Казахстанская,женщины,,,,2.8
2010,процент,Павлодарская,женщины,,,,10.3
2011,процент,Павлодарская,женщины,,,,10.7
2012,процент,Павлодарская,женщины,,,,9.4
2013,процент,Павлодарская,женщины,,,,8.5
2014,процент,Павлодарская,женщины,,,,9.0
2015,процент,Павлодарская,женщины,,,,8.0
2016,процент,Павлодарская,женщины,,,,10.1
2017,процент,Павлодарская,женщины,,,,10.8
2018,процент,Павлодарская,женщины,,,,10.3
2010,процент,Северо-Казахстанская,женщины,,,,2.6
2011,процент,Северо-Казахстанская,женщины,,,,2.4
2012,процент,Северо-Казахстанская,женщины,,,,3.0
2013,процент,Северо-Казахстанская,женщины,,,,3.4
2014,процент,Северо-Казахстанская,женщины,,,,3.3
2015,процент,Северо-Казахстанская,женщины,,,,3.3
2016,процент,Северо-Казахстанская,женщины,,,,4.4
2017,процент,Северо-Казахстанская,женщины,,,,3.6
2018,процент,Северо-Казахстанская,женщины,,,,3.4
2018,процент,Туркестанская,женщины,,,,1.8
2010,процент,Восточно-Казахстанская,женщины,,,,6.9
2011,процент,Восточно-Казахстанская,женщины,,,,7.1
2012,процент,Восточно-Казахстанская,женщины,,,,7.2
2013,процент,Восточно-Казахстанская,женщины,,,,7.2
2014,процент,Восточно-Казахстанская,женщины,,,,7.5
2015,процент,Восточно-Казахстанская,женщины,,,,7.6
2016,процент,Восточно-Казахстанская,женщины,,,,7.4
2017,процент,Восточно-Казахстанская,женщины,,,,7.3
2018,процент,Восточно-Казахстанская,женщины,,,,7.0
2010,процент,г_Нур-Султан,женщины,,,,6.4
2011,процент,г_Нур-Султан,женщины,,,,1.9
2012,процент,г_Нур-Султан,женщины,,,,1.7
2013,процент,г_Нур-Султан,женщины,,,,2.6
2014,процент,г_Нур-Султан,женщины,,,,1.8
2015,процент,г_Нур-Султан,женщины,,,,3.5
2016,процент,г_Нур-Султан,женщины,,,,4.8
2017,процент,г_Нур-Султан,женщины,,,,4.4
2018,процент,г_Нур-Султан,женщины,,,,3.3
2010,процент,г_Алматы,женщины,,,,6.3
2011,процент,г_Алматы,женщины,,,,6.0
2012,процент,г_Алматы,женщины,,,,6.9
2013,процент,г_Алматы,женщины,,,,7.6
2014,процент,г_Алматы,женщины,,,,6.1
2015,процент,г_Алматы,женщины,,,,6.8
2016,процент,г_Алматы,женщины,,,,6.8
2017,процент,г_Алматы,женщины,,,,6.4
2018,процент,г_Алматы,женщины,,,,5.3
2018,процент,г_Шымкент,женщины,,,,6.0
2012,процент,,,городское население,,,9.4
2013,процент,,,городское население,,,9.5
2014,процент,,,городское население,,,9.1
2015,процент,,,городское население,,,9.2
2016,процент,,,городское население,,,8.8
2017,процент,,,городское население,,,9.1
2018,процент,,,городское население,,,9.0
2012,процент,Акмолинская,,городское население,,,10.6
2013,процент,Акмолинская,,городское население,,,10.4
2014,процент,Акмолинская,,городское население,,,10.8
2015,процент,Акмолинская,,городское население,,,10.9
2016,процент,Акмолинская,,городское население,,,10.6
2017,процент,Акмолинская,,городское население,,,10.1
2018,процент,Акмолинская,,городское население,,,10.3
2012,процент,Актюбинская,,городское население,,,7.7
2013,процент,Актюбинская,,городское население,,,8.0
2014,процент,Актюбинская,,городское население,,,8.2
2015,процент,Актюбинская,,городское население,,,7.4
2016,процент,Актюбинская,,городское население,,,9.5
2017,процент,Актюбинская,,городское население,,,9.4
2018,процент,Актюбинская,,городское население,,,9.1
2012,процент,Алматинская,,городское население,,,5.1
2013,процент,Алматинская,,городское население,,,4.4
2014,процент,Алматинская,,городское население,,,5.2
2015,процент,Алматинская,,городское население,,,6.1
2016,процент,Алматинская,,городское население,,,5.1
2017,процент,Алматинская,,городское население,,,8.0
2018,процент,Алматинская,,городское население,,,6.2
2012,процент,Атырауская,,городское население,,,6.2
2013,процент,Атырауская,,городское население,,,6.1
2014,процент,Атырауская,,городское население,,,4.0
2015,процент,Атырауская,,городское население,,,4.9
2016,процент,Атырауская,,городское население,,,4.5
2017,процент,Атырауская,,городское население,,,5.2
2018,процент,Атырауская,,городское население,,,4.1
2012,процент,Западно-Казахстанская,,городское население,,,7.7
2013,процент,Западно-Казахстанская,,городское население,,,8.4
2014,процент,Западно-Казахстанская,,городское население,,,8.8
2015,процент,Западно-Казахстанская,,городское население,,,8.1
2016,процент,Западно-Казахстанская,,городское население,,,8.9
2017,процент,Западно-Казахстанская,,городское население,,,8.0
2018,процент,Западно-Казахстанская,,городское население,,,8.2
2012,процент,Жамбылская,,городское население,,,6.9
2013,процент,Жамбылская,,городское население,,,6.0
2014,процент,Жамбылская,,городское население,,,6.0
2015,процент,Жамбылская,,городское население,,,7.2
2016,процент,Жамбылская,,городское население,,,4.0
2017,процент,Жамбылская,,городское население,,,7.9
2018,процент,Жамбылская,,городское население,,,8.8
2012,процент,Карагандинская,,городское население,,,21.8
2013,процент,Карагандинская,,городское население,,,21.0
2014,процент,Карагандинская,,городское население,,,17.8
2015,процент,Карагандинская,,городское население,,,17.2
2016,процент,Карагандинская,,городское население,,,16.6
2017,процент,Карагандинская,,городское население,,,16.6
2018,процент,Карагандинская,,городское население,,,16.8
2012,процент,Костанайская,,городское население,,,7.8
2013,процент,Костанайская,,городское население,,,7.7
2014,процент,Костанайская,,городское население,,,7.0
2015,процент,Костанайская,,городское население,,,7.3
2016,процент,Костанайская,,городское население,,,7.0
2017,процент,Костанайская,,городское население,,,7.1
2018,процент,Костанайская,,городское население,,,7.2
2012,процент,Кызылординская,,городское население,,,3.3
2013,процент,Кызылординская,,городское население,,,3.0
2014,процент,Кызылординская,,городское население,,,3.6
2015,процент,Кызылординская,,городское население,,,4.0
2016,процент,Кызылординская,,городское население,,,3.6
2017,процент,Кызылординская,,городское население,,,2.7
2018,процент,Кызылординская,,городское население,,,3.0
2012,процент,Мангистауская,,городское население,,,3.2
2013,процент,Мангистауская,,городское население,,,5.2
2014,процент,Мангистауская,,городское население,,,5.3
2015,процент,Мангистауская,,городское население,,,7.3
2016,процент,Мангистауская,,городское население,,,6.5
2017,процент,Мангистауская,,городское население,,,5.1
2018,процент,Мангистауская,,городское население,,,5.0
2012,процент,Южно-Казахстанская,,городское население,,,4.5
2013,процент,Южно-Казахстанская,,городское население,,,5.2
2014,процент,Южно-Казахстанская,,городское население,,,6.6
2015,процент,Южно-Казахстанская,,городское население,,,5.6
2016,процент,Южно-Казахстанская,,городское население,,,5.1
2017,процент,Южно-Казахстанская,,городское население,,,5.8
2012,процент,Павлодарская,,городское население,,,18.9
2013,процент,Павлодарская,,городское население,,,18.8
2014,процент,Павлодарская,,городское население,,,19.6
2015,процент,Павлодарская,,городское население,,,19.1
2016,процент,Павлодарская,,городское население,,,19.4
2017,процент,Павлодарская,,городское население,,,19.8
2018,процент,Павлодарская,,городское население,,,19.7
2012,процент,Северо-Казахстанская,,городское население,,,8.5
2013,процент,Северо-Казахстанская,,городское население,,,8.6
2014,процент,Северо-Казахстанская,,городское население,,,8.5
2015,процент,Северо-Казахстанская,,городское население,,,8.4
