Year,Units,Sex,Age,Category,Value
2019,person,male,aged 10-15 years,,117
2015,person,female,aged 10-15 years,,110
2016,person,female,aged 10-15 years,,94
2017,person,female,aged 10-15 years,,89
2018,person,female,aged 10-15 years,,82
2019,person,female,aged 10-15 years,,92
2015,person,,aged 16-17 years,,204
2016,person,,aged 16-17 years,,179
2017,person,,aged 16-17 years,,198
2018,person,,aged 16-17 years,,231
2019,person,,aged 16-17 years,,200
2015,person,male,aged 16-17 years,,100
2016,person,male,aged 16-17 years,,90
2017,person,male,aged 16-17 years,,92
2018,person,male,aged 16-17 years,,114
2019,person,male,aged 16-17 years,,105
2015,person,female,aged 16-17 years,,104
2016,person,female,aged 16-17 years,,89
2017,person,female,aged 16-17 years,,106
2018,person,female,aged 16-17 years,,117
201,person,female,aged 16-17 years,,95
2015,%,,,total to the population of respective age,0.12
2016,%,,,total to the population of respective age,0.12
2017,%,,,total to the population of respective age,0.12
2018,%,,,total to the population of respective age,0.11
2019,%,,,total to the population of respective age,0.11
2015,%,male,,total to the population of respective age,0.12
2016,%,male,,total to the population of respective age,0.12
2017,%,male,,total to the population of respective age,0.12
2018,%,male,,total to the population of respective age,0.11
2019,%,male,,total to the population of respective age,0.11
2015,%,female,,total to the population of respective age,0.13
2016,%,female,,total to the population of respective age,0.11
2017,%,female,,total to the population of respective age,0.12
2018,%,female,,total to the population of respective age,0.11
2019,%,female,,total to the population of respective age,0.11
2015,%,,up to 1 year old,,0.16
2016,%,,up to 1 year old,,0.12
2017,%,,up to 1 year old,,0.16
2018,%,,up to 1 year old,,0.13
2019,%,,up to 1 year old,,0.15
2015,%,male,up to 1 year old,,0.15
2016,%,male,up to 1 year old,,0.12
2017,%,male,up to 1 year old,,0.14
2018,%,male,up to 1 year old,,0.14
2019,%,male,up to 1 year old,,0.13
2015,%,female,up to 1 year old,,0.17
2016,%,female,up to 1 year old,,0.11
2017,%,female,up to 1 year old,,0.18
2018,%,female,up to 1 year old,,0.13
2019,%,female,up to 1 year old,,0.18
2015,%,,aged 1-6 years,,0.08
2016,%,,aged 1-6 years,,0.08
2017,%,,aged 1-6 years,,0.07
2018,%,,aged 1-6 years,,0.07
2019,%,,aged 1-6 years,,0.07
2015,%,male,aged 1-6 years,,0.08
2016,%,male,aged 1-6 years,,0.09
2017,%,male,aged 1-6 years,,0.07
2018,%,male,aged 1-6 years,,0.07
2019,%,male,aged 1-6 years,,0.07
2015,%,female,aged 1-6 years,,0.08
2016,%,female,aged 1-6 years,,0.08
2017,%,female,aged 1-6 years,,0.06
2018,%,female,aged 1-6 years,,0.07
2019,%,female,aged 1-6 years,,0.06
2015,%,,aged 7-9 years,,0.13
2016,%,,aged 7-9 years,,0.12
2017,%,,aged 7-9 years,,0.14
2018,%,,aged 7-9 years,,0.11
2019,%,,aged 7-9 years,,0.11
2015,%,male,aged 7-9 years,,0.13
2016,%,male,aged 7-9 years,,0.12
2017,%,male,aged 7-9 years,,0.15
2018,%,male,aged 7-9 years,,0.12
2019,%,male,aged 7-9 years,,0.12
2015,%,female,aged 7-9 years,,0.13
2016,%,female,aged 7-9 years,,0.12
2017,%,female,aged 7-9 years,,0.13
2018,%,female,aged 7-9 years,,0.10
2019,%,female,aged 7-9 years,,0.11
2015,%,,aged 10-15 years,,0.12
2016,%,,aged 10-15 years,,0.11
2017,%,,aged 10-15 years,,0.10
2018,%,,aged 10-15 years,,0.09
2019,%,,aged 10-15 years,,0.09
2015,%,male,aged 10-15 years,,0.12
2016,%,male,aged 10-15 years,,0.12
2017,%,male,aged 10-15 years,,0.11
2018,%,male,aged 10-15 years,,0.09
2019,%,male,aged 10-15 years,,0.09
2015,%,female,aged 10-15 years,,0.11
2016,%,female,aged 10-15 years,,0.10
2017,%,female,aged 10-15 years,,0.09
2018,%,female,aged 10-15 years,,0.08
2019,%,female,aged 10-15 years,,0.08
2015,%,,aged 16-17 years,,0.29
2016,%,,aged 16-17 years,,0.26
2017,%,,aged 16-17 years,,0.30
2018,%,,aged 16-17 years,,0.36
2019,%,,aged 16-17 years,,0.30
2015,%,male,aged 16-17 years,,0.27
2016,%,male,aged 16-17 years,,0.25
2017,%,male,aged 16-17 years,,0.26
2018,%,male,aged 16-17 years,,0.33
2019,%,male,aged 16-17 years,,0.29
2015,%,female,aged 16-17 years,,0.31
2016,%,female,aged 16-17 years,,0.28
2017,%,female,aged 16-17 years,,0.34
2018,%,female,aged 16-17 years,,0.39
2019,%,female,aged 16-17 years,,0.30
