Year,Observation status,Area,Sex,Unit measure,Unit multiplier,Value
2009,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,20.4
2010,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,19.4
2011,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,43.3
2012,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,18.0
2013,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,26.1
2014,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,16.4
2015,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,30.5
2016,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,17.6
2017,Normal value,Bishkek (city),Female,"Per 100,000 live births",Units,13.4
2007,Normal value,Osh (city),Female,"Per 100,000 live births",Units,100.6
2008,Normal value,Osh (city),Female,"Per 100,000 live births",Units,38.6
2009,Normal value,Osh (city),Female,"Per 100,000 live births",Units,168.4
2010,Normal value,Osh (city),Female,"Per 100,000 live births",Units,
2011,Normal value,Osh (city),Female,"Per 100,000 live births",Units,35.7
2012,Normal value,Osh (city),Female,"Per 100,000 live births",Units,60.3
2013,Normal value,Osh (city),Female,"Per 100,000 live births",Units,15.0
2014,Normal value,Osh (city),Female,"Per 100,000 live births",Units,
2015,Normal value,Osh (city),Female,"Per 100,000 live births",Units,40.9
2016,Normal value,Osh (city),Female,"Per 100,000 live births",Units,13.5
2017,Normal value,Osh (city),Female,"Per 100,000 live births",Units,64.9
