Year,Units,Пол,Регионы,Местность,GeoCode,Value
2011,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,19.33
2012,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,19.12
2013,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,11.89
2014,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,11.72
2015,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,9.56
2016,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,10.94
2017,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,9.67
2018,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,12.68
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,17.17
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,14.54
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,11.99
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,9.75
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,10.89
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,10.64
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,9.56
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,8.63
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,KZ07,7.73
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,20.5
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,18.9
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,17.06
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,16.58
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,13.29
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,13.87
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,11.63
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,10.96
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,,KZ17,9.63
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,17.31
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,13.5
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,14.53
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,11.59
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,10.92
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,11.14
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,9.9
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,9.95
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,,KZ12,9.11
2010,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,16.51
2011,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,16.24
2012,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,17.01
2013,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,14.2
2014,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,14.1
2015,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,12.84
2016,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,11.39
2017,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,12.27
2018,на 1000 родившихся,мальчики и девочки,Костанайская,,KZ13,11.52
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,26.47
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,23.61
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,24.28
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,19.67
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,16.95
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,15.25
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,13.55
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,11.54
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,,KZ14,12.56
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,21.64
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,20.22
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,15.98
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,11.79
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,11.36
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,12.33
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,11.52
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,10.11
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,,KZ09,11.86
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,23.0
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,20.66
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,18.49
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,17.47
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,15.0
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,14.67
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,13.12
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,12.1
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,KZ10,11.2
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,15.03
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,15.49
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,10.88
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,10.38
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,9.89
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,9.08
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,9.12
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,10.06
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,,KZ11,7.25
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,16.4
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,15.0
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,13.07
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,13.67
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,10.83
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,10.21
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,8.58
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,11.37
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,KZ16,13.07
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,22.27
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,21.28
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,18.3
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,15.73
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,13.23
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,12.19
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,11.61
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,9.16
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,KZ15,9.51
2010,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,12.68
2011,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,12.82
2012,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,13.26
2013,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,11.6
2014,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,8.3
2015,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,8.95
2016,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,7.86
2017,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,7.0
2018,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,KZ05,7.44
2010,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,18.84
2011,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,19.45
2012,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,14.08
2013,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,11.86
2014,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,9.4
2015,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,10.37
2016,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,8.71
2017,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,8.5
2018,на 1000 родившихся,мальчики и девочки,г.Алматы,,KZ02,9.86
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,19.09
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,17.88
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,15.74
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,13.65
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,11.94
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,11.78
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,10.13
2017,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,9.34550600184265
2018,на 1000 родившихся,мальчики и девочки,Республика Казахстан,городское население,,9.56
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,16.63
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,20.27
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,15.66
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,16.04
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,11.39
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,10.67
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,8.92
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,8.53008377760853
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,городское население,KZ03,7.61
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,19.15
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,12.98
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,17.55
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,13.25
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,12.22
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,11.91
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,9.67
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,8.069474331386413
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,городское население,KZ04,10.63
2010,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,18.68
2011,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,15.98
2012,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,13.93
2013,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,12.78
2014,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,10.3
2015,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,11.2
2016,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,10.64
2017,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,9.424330479855492
2018,на 1000 родившихся,мальчики и девочки,Алматинская,городское население,KZ01,8.48
2010,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,17.69
2011,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,17.69
2012,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,19.69
2013,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,11.28
2014,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,10.8
2015,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,8.78
2016,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,10.85
2017,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,9.70638194612958
2018,на 1000 родившихся,мальчики и девочки,Атырауская,городское население,KZ06,11.13
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,15.04
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,12.58
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,8.9
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,9.29
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,10.76
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,11.17
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,9.42
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,8.67091180056903
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,городское население,KZ07,7.62
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,21.62
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,20.66
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,15.61
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,21.21
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,17.59
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,18.17
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,13.35
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,11.778779792030921
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,городское население,KZ17,9.33
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,17.1
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,12.52
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,14.4
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,10.91
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,10.06
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,10.7
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,9.6
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,10.3592682389244
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,городское население,KZ12,9.06
2010,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,15.02
2011,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,14.76
2012,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,15.36
2013,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,13.22
2014,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,13.53
2015,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,13.98
2016,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,10.68
2017,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,10.61320754716981
2018,на 1000 родившихся,мальчики и девочки,Костанайская,городское население,KZ13,10.99
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,25.25
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,21.54
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,21.36
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,17.39
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,16.89
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,16.79
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,15.8
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,11.173802411771216
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,городское население,KZ14,13.58
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,22.03
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,19.97
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,14.89
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,10.74
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,11.73
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,10.3
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,10.73
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,7.215480485405051
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,городское население,KZ09,10.59
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,24.55
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,24.63
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,19.46
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,17.76
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,15.67
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,14.24
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,11.36
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,11.142630785351017
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,городское население,KZ10,10.36
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,14.18
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,14.1
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,10.1
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,9.84
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,8.8
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,8.83
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,8.63
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,10.378146248359776
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,городское население,KZ11,8.06
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,14.21
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,14.19
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,13.02
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,13.25
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,9.03
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,9.8
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,6.62
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,11.245431543435481
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,городское население,KZ16,12.06
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,21.29
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,19.94
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,18.12
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,14.64
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,13.12
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,11.81
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,10.58
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,7.909045971329707
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,городское население,KZ15,8.73
2010,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,12.68
2011,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,12.82
2012,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,13.26
2013,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,11.6
2014,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,8.3
2015,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,8.95
2016,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,7.86
2017,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,7.002404866317725
2018,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,городское население,KZ05,7.44
2010,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,18.84
2011,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,19.45
2012,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,14.08
2013,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,11.86
2014,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,9.4
2015,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,10.37
2016,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,8.71
2017,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,8.4969608248735
2018,на 1000 родившихся,мальчики и девочки,г.Алматы,городское население,KZ02,9.86
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,20.06
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,18.12
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,17.1
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,14.83
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,12.86
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,12.37
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,11.68
2017,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,11.486093687849953
2018,на 1000 родившихся,мальчики и девочки,Республика Казахстан,сельское население,,10.9
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,17.4
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,16.16
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,11.89
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,13.39
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,12.58
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,9.28
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,10.4
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,11.842563566701493
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,сельское население,KZ03,7.35
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,19.93
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,16.39
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,14.03
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,14.09
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,10.91
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,12.95
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,11.44
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,11.916421808684294
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,сельское население,KZ04,11.8
2010,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,15.18
