Year,Units,Регион,Город,Value
2011,"в процентах к 
2005 году",Северо-Казахстанская,,154.2
2012,"в процентах к 
2005 году",Северо-Казахстанская,,147.1
2013,"в процентах к 
2005 году",Северо-Казахстанская,,159.5
2014,"в процентах к 
2005 году",Северо-Казахстанская,,169.9
2015,"в процентах к 
2005 году",Северо-Казахстанская,,172.6
2016,"в процентах к 
2005 году",Северо-Казахстанская,,175.2
2017,"в процентах к 
2005 году",Северо-Казахстанская,,182.4
2010,"в процентах к 
2005 году",,,127.4
2011,"в процентах к 
2005 году",,,137.2
2012,"в процентах к 
2005 году",,,154.8
2013,"в процентах к 
2005 году",,,166.1
2014,"в процентах к 
2005 году",,,170.6
2015,"в процентах к 
2005 году",,,170.4
2016,"в процентах к 
2005 году",,,174.5
2017,"в процентах к 
2005 году",,,178.9
2010,"в процентах к 
2005 году",,г. Астана,108.5
2011,"в процентах к 
2005 году",,г. Астана,110.5
2012,"в процентах к 
2005 году",,г. Астана,120.0
2013,"в процентах к 
2005 году",,г. Астана,126.7
2014,"в процентах к 
2005 году",,г. Астана,132.4
2015,"в процентах к 
2005 году",,г. Астана,136.1
2016,"в процентах к 
2005 году",,г. Астана,130.4
2017,"в процентах к 
2005 году",,г. Астана,124.9
2010,"в процентах к 
2005 году",,г. Алматы,120.4
2011,"в процентах к 
2005 году",,г. Алматы,128.9
2012,"в процентах к 
2005 году",,г. Алматы,138.3
2013,"в процентах к 
2005 году",,г. Алматы,155.7
2014,"в процентах к 
2005 году",,г. Алматы,153.2
2015,"в процентах к 
2005 году",,г. Алматы,154.7
2016,"в процентах к 
2005 году",,г. Алматы,153.8
2017,"в процентах к 
2005 году",,г. Алматы,153.6
