Year,Units,Доходы бюджета,,Value
2013,процент,"Доля к ВВП, в процентах",,1.369456686542603
2014,процент,"Доля к ВВП, в процентах",,1.3919815747078368
2015,процент,"Доля к ВВП, в процентах",,1.4646434635791328
2016,процент,"Доля к ВВП, в процентах",,1.4727723929161625
2017,процент,"Доля к ВВП, в процентах",,1.4127941749077353
2018,процент,"Доля к ВВП, в процентах",,1.4394788698445034
2010,процент,Социальный налог,,253829912.8023
2011,процент,Социальный налог,,296843078.9856
2012,процент,Социальный налог,,340996885.856
2013,процент,Социальный налог,,380477071.9693
2014,процент,Социальный налог,,427984814.10445
2015,процент,Социальный налог,,464673530.56258
2016,процент,Социальный налог,,530439942.88051
2017,процент,Социальный налог,,576606597.28897
2018,процент,Социальный налог,,618505480.59255
2010,процент,"Доля к ВВП, в процентах",,1.1635292108928705
2011,процент,"Доля к ВВП, в процентах",,1.051030432647247
2012,процент,"Доля к ВВП, в процентах",,1.0994513438007174
2013,процент,"Доля к ВВП, в процентах",,1.056909377163383
2014,процент,"Доля к ВВП, в процентах",,1.0787040443061497
2015,процент,"Доля к ВВП, в процентах",,1.136562009871184
2016,процент,"Доля к ВВП, в процентах",,1.1292888142626059
2017,процент,"Доля к ВВП, в процентах",,1.0858619184762712
2018,процент,"Доля к ВВП, в процентах",,1.061941118008234
2010,процент,Hалоги на имущество,,107917342.7611
2011,процент,Hалоги на имущество,,117398800.3693
2012,процент,Hалоги на имущество,,127485042.9838
2013,процент,Hалоги на имущество,,142444137.1708
2014,процент,Hалоги на имущество,,173154548.79718
2015,процент,Hалоги на имущество,,208984244.70926
2016,процент,Hалоги на имущество,,210616456.99979
2017,процент,Hалоги на имущество,,239511409.29825
2018,процент,Hалоги на имущество,,280543467.46389
2010,процент,"Доля к ВВП, в процентах",,0.4946815734923908
2011,процент,"Доля к ВВП, в процентах",,0.41567319799428054
2012,процент,"Доля к ВВП, в процентах",,0.41104070927562947
2013,процент,"Доля к ВВП, в процентах",,0.3956888742823205
2014,процент,"Доля к ВВП, в процентах",,0.43642322325936606
2015,процент,"Доля к ВВП, в процентах",,0.5111622194416761
2016,процент,"Доля к ВВП, в процентах",,0.44839535970439304
2017,процент,"Доля к ВВП, в процентах",,0.4510463800108314
2018,процент,"Доля к ВВП, в процентах",,0.4816782596705393
2010,процент,Земельный налог,,13467103.4462
2011,процент,Земельный налог,,12977289.9903
2012,процент,Земельный налог,,13038561.179
2013,процент,Земельный налог,,14150049.5251
2014,процент,Земельный налог,,14300176.04821
2015,процент,Земельный налог,,14935091.68702
2016,процент,Земельный налог,,15255135.08386
2017,процент,Земельный налог,,15353337.87991
2018,процент,Земельный налог,,16875844.36687
2010,процент,"Доля к ВВП, в процентах",,0.06173176389172899
2011,процент,"Доля к ВВП, в процентах",,0.04594860947981023
2012,процент,"Доля к ВВП, в процентах",,0.042039280134461614
2013,процент,"Доля к ВВП, в процентах",,0.03930675757410997
2014,процент,"Доля к ВВП, в процентах",,0.03604253522352646
2015,процент,"Доля к ВВП, в процентах",,0.0365302878450138
2016,процент,"Доля к ВВП, в процентах",,0.032477669982233774
2017,процент,"Доля к ВВП, в процентах",,0.028913309358023873
2018,процент,"Доля к ВВП, в процентах",,0.028974930047697866
2010,процент,Hалог на транспортные средства,,26261779.1185
2011,процент,Hалог на транспортные средства,,29975091.8961
2012,процент,Hалог на транспортные средства,,30960804.7741
2013,процент,Hалог на транспортные средства,,36029294.302
2014,процент,Hалог на транспортные средства,,38843795.56726
2015,процент,Hалог на транспортные средства,,42277825.41119
2016,процент,Hалог на транспортные средства,,46879302.03746
2017,процент,Hалог на транспортные средства,,59980798.90098
2018,процент,Hалог на транспортные средства,,67191308.6814
2010,процент,"Доля к ВВП, в процентах",,0.12038119068413553
2011,процент,"Доля к ВВП, в процентах",,0.1061326203456045
2012,процент,"Доля к ВВП, в процентах",,0.09982466065221093
2013,процент,"Доля к ВВП, в процентах",,0.1000840833936917
2014,процент,"Доля к ВВП, в процентах",,0.09790291149063692
2015,процент,"Доля к ВВП, в процентах",,0.10340888185335058
2016,процент,"Доля к ВВП, в процентах",,0.09980445877407727
2017,процент,"Доля к ВВП, в процентах",,0.11295546334811848
2018,процент,"Доля к ВВП, в процентах",,0.11536391463047892
2010,процент,Единый земельный налог,,761649.2541
2011,процент,Единый земельный налог,,818271.1437
2012,процент,Единый земельный налог,,820242.3827
2013,процент,Единый земельный налог,,829939.2835
2014,процент,Единый земельный налог,,876472.42874
2015,процент,Единый земельный налог,,832773.04591
2016,процент,Единый земельный налог,,943671.05351
2017,процент,Единый земельный налог,,1003674.39559
2018,процент,Единый земельный налог,,1036102.79185
2010,процент,"Доля к ВВП, в процентах",,0.0034913188355792804
2011,процент,"Доля к ВВП, в процентах",,0.002897247519210273
2012,процент,"Доля к ВВП, в процентах",,0.002644647582742578
2013,процент,"Доля к ВВП, в процентах",,0.002305449331459812
2014,процент,"Доля к ВВП, в процентах",,0.0022090838797236695
2015,процент,"Доля к ВВП, в процентах",,0.0020369100983223475
2016,процент,"Доля к ВВП, в процентах",,0.002009043963177397
2017,процент,"Доля к ВВП, в процентах",,0.0018901133109558983
2018,процент,"Доля к ВВП, в процентах",,0.0017789335610972025
2010,процент,Налог на добавленную стоимость,,677229029.0672
2011,процент,Налог на добавленную стоимость,,865212735.0064
2012,процент,Налог на добавленную стоимость,,914360839.252
2013,процент,Налог на добавленную стоимость,,1327649556.1342
2014,процент,Налог на добавленную стоимость,,1198169867.41276
2015,процент,Налог на добавленную стоимость,,944438030.3032
2016,процент,Налог на добавленную стоимость,,1495681958.48907
2017,процент,Налог на добавленную стоимость,,1664699270.11816
2018,процент,Налог на добавленную стоимость,,2034313934.81333
2010,процент,"Доля к ВВП, в процентах",,3.1043455402280857
2011,процент,"Доля к ВВП, в процентах",,3.0634533178716903
2012,процент,"Доля к ВВП, в процентах",,2.9481068453478207
2013,процент,"Доля к ВВП, в процентах",,3.688015307209528
2014,процент,"Доля к ВВП, в процентах",,3.0198984616974736
2015,процент,"Доля к ВВП, в процентах",,2.3100355740526197
2016,процент,"Доля к ВВП, в процентах",,3.184256630908696
2017,процент,"Доля к ВВП, в процентах",,3.1349511983308904
2018,процент,"Доля к ВВП, в процентах",,3.4928091700104793
2010,процент,Поступления за использование природных и других ресурсов,,231272772.3282
2011,процент,Поступления за использование природных и других ресурсов,,298039034.3182
2012,процент,Поступления за использование природных и других ресурсов,,303927968.3336
2013,процент,Поступления за использование природных и других ресурсов,,312444298.323
2014,процент,Поступления за использование природных и других ресурсов,,278082952.64522
2015,процент,Поступления за использование природных и других ресурсов,,266591324.19881
2016,процент,Поступления за использование природных и других ресурсов,,359944636.9235
2017,процент,Поступления за использование природных и других ресурсов,,414946358.18392
2018,процент,Поступления за использование природных и других ресурсов,,493648785.33086
2010,процент,"Доля к ВВП, в процентах",,1.0601296880940296
2011,процент,"Доля к ВВП, в процентах",,1.0552649442112183
2012,процент,"Доля к ВВП, в процентах",,0.9799327415092837
2013,процент,"Доля к ВВП, в процентах",,0.8679243325481056
2014,процент,"Доля к ВВП, в процентах",,0.7008874983068597
2015,процент,"Доля к ВВП, в процентах",,0.6520654853715917
2016,процент,"Доля к ВВП, в процентах",,0.7663100369556631
2017,процент,"Доля к ВВП, в процентах",,0.7814243726672542
2018,процент,"Доля к ВВП, в процентах",,0.8475687919457615
2010,процент,Сборы за регистрацию,,9731076.5766
2011,процент,Сборы за регистрацию,,11953180.6484
2012,процент,Сборы за регистрацию,,13880399.309
2013,процент,Сборы за регистрацию,,15562475.915
2014,процент,Сборы за регистрацию,,17185939.63817
2015,процент,Сборы за регистрацию,,22446793.20406
2016,процент,Сборы за регистрацию,,26902505.96605
2017,процент,Сборы за регистрацию,,26582177.40883
2018,процент,Сборы за регистрацию,,29622847.16163
2010,процент,"Доля к ВВП, в процентах",,0.04460621573442427
2011,процент,"Доля к ВВП, в процентах",,0.04232255194000328
2012,процент,"Доля к ВВП, в процентах",,0.04475355730730957
2013,процент,"Доля к ВВП, в процентах",,0.04323027046362986
2014,процент,"Доля к ВВП, в процентах",,0.043315888746396046
2015,процент,"Доля к ВВП, в процентах",,0.054903433746875334
2016,процент,"Доля к ВВП, в процентах",,0.057274531209157105
2017,процент,"Доля к ВВП, в процентах",,0.05005938935513615
2018,процент,"Доля к ВВП, в процентах",,0.05086085802064487
2010,процент,Налог на игорный бизнес,,5307296.9372
2011,процент,Налог на игорный бизнес,,5906834.4913
2012,процент,Налог на игорный бизнес,,6444629.0087
2013,процент,Налог на игорный бизнес,,7734714.645
2014,процент,Налог на игорный бизнес,,8888422.31095
2015,процент,Налог на игорный бизнес,,10570459.46761
2016,процент,Налог на игорный бизнес,,11876282.91775
2017,процент,Налог на игорный бизнес,,13347959.35686
2018,процент,Налог на игорный бизнес,,28863927.12853
2010,процент,"Доля к ВВП, в процентах",,0.02432808233332265
2011,процент,"Доля к ВВП, в процентах",,0.020914291928860792
2012,процент,"Доля к ВВП, в процентах",,0.020778946429746772
2013,процент,"Доля к ВВП, в процентах",,0.0214859003084503
2014,процент,"Доля к ВВП, в процентах",,0.022402610509406597
2015,процент,"Доля к ВВП, в процентах",,0.02585467401860266
2016,процент,"Доля к ВВП, в процентах",,0.025284207258604485
2017,процент,"Доля к ВВП, в процентах",,0.02513679313266601
2018,процент,"Доля к ВВП, в процентах",,0.04955783256053584
2010,процент,Налоги на международную торговлю и внешние операции,,373799611.3336
2011,процент,Налоги на международную торговлю и внешние операции,,813789853.9948
2012,процент,Налоги на международную торговлю и внешние операции,,744443812.0009
2013,процент,Налоги на международную торговлю и внешние операции,,880049267.6658
2014,процент,Налоги на международную торговлю и внешние операции,,1054054719.69592
2015,процент,Налоги на международную торговлю и внешние операции,,880063188.72071
2016,процент,Налоги на международную торговлю и внешние операции,,951806708.61454
2017,процент,Налоги на международную торговлю и внешние операции,,1196918503.988
2018,процент,Налоги на международную торговлю и внешние операции,,1422717755.81567
2010,процент,"Доля к ВВП, в процентах",,1.7134574960272542
2011,процент,"Доля к ВВП, в процентах",,2.881380644787028
2012,процент,"Доля к ВВП, в процентах",,2.400255789532796
2013,процент,"Доля к ВВП, в процентах",,2.4446475014841442
2014,процент,"Доля к ВВП, в процентах",,2.6566668993505114
2015,процент,"Доля к ВВП, в процентах",,2.1525787909095135
2016,процент,"Доля к ВВП, в процентах",,2.0263644995162777
2017,процент,"Доля к ВВП, в процентах",,2.2540294008270103
2018,процент,"Доля к ВВП, в процентах",,2.442730956520576
2010,процент,Акцизы,,61423117.956
2011,процент,Акцизы,,76399980.8999
2012,процент,Акцизы,,93143180.2472
2013,процент,Акцизы,,103651007.3985
2014,процент,Акцизы,,146865777.03334
2015,процент,Акцизы,,161068271.97219
2016,процент,Акцизы,,205230955.45323
2017,процент,Акцизы,,255994199.021
2018,процент,Акцизы,,311855913.62152
2010,процент,"Доля к ВВП, в процентах",,0.2815570126346307
2011,процент,"Доля к ВВП, в процентах",,0.2705089343968119
2012,процент,"Доля к ВВП, в процентах",,0.3003147504751753
2013,процент,"Доля к ВВП, в процентах",,0.28792726222605397
2014,процент,"Доля к ВВП, в процентах",,0.3701643199362804
2015,процент,"Доля к ВВП, в процентах",,0.3939627865128344
2016,процент,"Доля к ВВП, в процентах",,0.436929807878304
2017,процент,"Доля к ВВП, в процентах",,0.48208666597761957
2018,процент,"Доля к ВВП, в процентах",,0.5354400695874856
2010,процент,Государственная пошлина,,23509262.3021
2011,процент,Государственная пошлина,,26394668.8133
2012,процент,Государственная пошлина,,26146320.6556
2013,процент,Государственная пошлина,,32151458.0272
2014,процент,Государственная пошлина,,35196771.92496
2015,процент,Государственная пошлина,,43579289.5738
2016,процент,Государственная пошлина,,38542552.77793
2017,процент,Государственная пошлина,,46711970.49533
2018,процент,Государственная пошлина,,54085773.57409
2010,процент,"Доля к ВВП, в процентах",,0.10776394757043804
2011,процент,"Доля к ВВП, в процентах",,0.09345543873626663
2012,процент,"Доля к ВВП, в процентах",,0.08430167128383487
2013,процент,"Доля к ВВП, в процентах",,0.0893120242503456
2014,процент,"Доля к ВВП, в процентах",,0.08871085835468372
2015,процент,"Доля к ВВП, в процентах",,0.10659218072264591
2016,процент,"Доля к ВВП, в процентах",,0.08205579973649782
2017,процент,"Доля к ВВП, в процентах",,0.08796768912521823
2018,процент,"Доля к ВВП, в процентах",,0.09286240568569208
2010,процент,,ВВП,21815517.0
2011,процент,,ВВП,28243052.699999996
2012,процент,,ВВП,31015186.599999998
2013,процент,,ВВП,35999025.1
2014,процент,,ВВП,39675832.900000006
2015,процент,,ВВП,40884133.6
2016,процент,,ВВП,46971150.0
2017,процент,,ВВП,53101281.800000004
2018,процент,,ВВП,59613707.5
