Year,Observation status,Sex,Unit measure,Unit multiplier,Value
2012,Normal value,Female,"Per 100,000 population",Units,57.222843
2013,Normal value,Female,"Per 100,000 population",Units,57.9
2014,Normal value,Female,"Per 100,000 population",Units,51.3
2015,Normal value,Female,"Per 100,000 population",Units,48.5
2016,Normal value,Female,"Per 100,000 population",Units,53.8
2017,Normal value,Female,"Per 100,000 population",Units,34.8
2007,Normal value,Male,"Per 100,000 population",Units,92.654432
2008,Normal value,Male,"Per 100,000 population",Units,74.822647
2009,Normal value,Male,"Per 100,000 population",Units,79.185677
2010,Normal value,Male,"Per 100,000 population",Units,79.8
2011,Normal value,Male,"Per 100,000 population",Units,83.206714
2012,Normal value,Male,"Per 100,000 population",Units,83.217008
2013,Normal value,Male,"Per 100,000 population",Units,82.2
2014,Normal value,Male,"Per 100,000 population",Units,76.8
2015,Normal value,Male,"Per 100,000 population",Units,68.5
2016,Normal value,Male,"Per 100,000 population",Units,67.1
2017,Normal value,Male,"Per 100,000 population",Units,62.4
2007,Normal value,,"Per 100,000 population",Units,89.134835
2008,Normal value,,"Per 100,000 population",Units,101.241128
2009,Normal value,,"Per 100,000 population",Units,97.171948
2010,Normal value,,"Per 100,000 population",Units,103.928178
2011,Normal value,,"Per 100,000 population",Units,95.240986
2012,Normal value,,"Per 100,000 population",Units,105.056599
2013,Normal value,,"Per 100,000 population",Units,90.465191
2014,Normal value,,"Per 100,000 population",Units,98.190078
2015,Normal value,,"Per 100,000 population",Units,84.752208
2016,Normal value,,"Per 100,000 population",Units,77.322632
2017,Normal value,,"Per 100,000 population",Units,59.5
2007,Normal value,Female,"Per 100,000 population",Units,73.136894
2008,Normal value,Female,"Per 100,000 population",Units,93.896008
2009,Normal value,Female,"Per 100,000 population",Units,87.733728
2010,Normal value,Female,"Per 100,000 population",Units,85.5
2011,Normal value,Female,"Per 100,000 population",Units,86.159148
2012,Normal value,Female,"Per 100,000 population",Units,83.765487
2013,Normal value,Female,"Per 100,000 population",Units,76
2014,Normal value,Female,"Per 100,000 population",Units,87
2015,Normal value,Female,"Per 100,000 population",Units,75
2016,Normal value,Female,"Per 100,000 population",Units,63.3
2017,Normal value,Female,"Per 100,000 population",Units,49
2007,Normal value,Male,"Per 100,000 population",Units,104.664525
2008,Normal value,Male,"Per 100,000 population",Units,108.341574
2009,Normal value,Male,"Per 100,000 population",Units,106.394379
2010,Normal value,Male,"Per 100,000 population",Units,121.9
2011,Normal value,Male,"Per 100,000 population",Units,104.080869
2012,Normal value,Male,"Per 100,000 population",Units,125.735925
2013,Normal value,Male,"Per 100,000 population",Units,104.4
2014,Normal value,Male,"Per 100,000 population",Units,109
2015,Normal value,Male,"Per 100,000 population",Units,94.2
2016,Normal value,Male,"Per 100,000 population",Units,91
2017,Normal value,Male,"Per 100,000 population",Units,69.6
2007,Normal value,,"Per 100,000 population",Units,102.866708
2008,Normal value,,"Per 100,000 population",Units,97.93957
2009,Normal value,,"Per 100,000 population",Units,99.503115
2010,Normal value,,"Per 100,000 population",Units,90.272855
2011,Normal value,,"Per 100,000 population",Units,86.981785
2012,Normal value,,"Per 100,000 population",Units,89.531841
2013,Normal value,,"Per 100,000 population",Units,97.423584
2014,Normal value,,"Per 100,000 population",Units,90.681619
2015,Normal value,,"Per 100,000 population",Units,91.237869
2016,Normal value,,"Per 100,000 population",Units,83.857442
2017,Normal value,,"Per 100,000 population",Units,84.4
2007,Normal value,Female,"Per 100,000 population",Units,85.479058
2008,Normal value,Female,"Per 100,000 population",Units,79.853854
2009,Normal value,Female,"Per 100,000 population",Units,84.498903
2010,Normal value,Female,"Per 100,000 population",Units,83.3
2011,Normal value,Female,"Per 100,000 population",Units,78.306875
2012,Normal value,Female,"Per 100,000 population",Units,79.852654
2013,Normal value,Female,"Per 100,000 population",Units,89.2
2014,Normal value,Female,"Per 100,000 population",Units,82.7
2015,Normal value,Female,"Per 100,000 population",Units,83.8
2016,Normal value,Female,"Per 100,000 population",Units,78.4
2017,Normal value,Female,"Per 100,000 population",Units,73.3
2007,Normal value,Male,"Per 100,000 population",Units,120.175935
2008,Normal value,Male,"Per 100,000 population",Units,115.965366
2009,Normal value,Male,"Per 100,000 population",Units,114.268343
2010,Normal value,Male,"Per 100,000 population",Units,97.1
2011,Normal value,Male,"Per 100,000 population",Units,95.537626
2012,Normal value,Male,"Per 100,000 population",Units,99.072585
2013,Normal value,Male,"Per 100,000 population",Units,105.5
2014,Normal value,Male,"Per 100,000 population",Units,98.5
2015,Normal value,Male,"Per 100,000 population",Units,98.5
2016,Normal value,Male,"Per 100,000 population",Units,89.2
2017,Normal value,Male,"Per 100,000 population",Units,95.3
2007,Normal value,,"Per 100,000 population",Units,109.772016
2008,Normal value,,"Per 100,000 population",Units,98.863075
2009,Normal value,,"Per 100,000 population",Units,98.836801
2010,Normal value,,"Per 100,000 population",Units,105.89956
2011,Normal value,,"Per 100,000 population",Units,107.889182
2012,Normal value,,"Per 100,000 population",Units,96.876369
2013,Normal value,,"Per 100,000 population",Units,106.455247
2014,Normal value,,"Per 100,000 population",Units,101.925994
2015,Normal value,,"Per 100,000 population",Units,95.886509
2016,Normal value,,"Per 100,000 population",Units,83.723318
2017,Normal value,,"Per 100,000 population",Units,73.9
2007,Normal value,Female,"Per 100,000 population",Units,86.911498
2008,Normal value,Female,"Per 100,000 population",Units,90.931636
2009,Normal value,Female,"Per 100,000 population",Units,76.560919
2010,Normal value,Female,"Per 100,000 population",Units,87
2011,Normal value,Female,"Per 100,000 population",Units,90.313258
2012,Normal value,Female,"Per 100,000 population",Units,85.593946
2013,Normal value,Female,"Per 100,000 population",Units,89.3
2014,Normal value,Female,"Per 100,000 population",Units,89.6
2015,Normal value,Female,"Per 100,000 population",Units,81
2016,Normal value,Female,"Per 100,000 population",Units,67
2017,Normal value,Female,"Per 100,000 population",Units,66
2007,Normal value,Male,"Per 100,000 population",Units,132.527127
2008,Normal value,Male,"Per 100,000 population",Units,106.730401
2009,Normal value,Male,"Per 100,000 population",Units,121.037767
2010,Normal value,Male,"Per 100,000 population",Units,124.6
2011,Normal value,Male,"Per 100,000 population",Units,125.307942
2012,Normal value,Male,"Per 100,000 population",Units,108.024821
2013,Normal value,Male,"Per 100,000 population",Units,123.4
2014,Normal value,Male,"Per 100,000 population",Units,114.1
2015,Normal value,Male,"Per 100,000 population",Units,110.5
2016,Normal value,Male,"Per 100,000 population",Units,100.1
2017,Normal value,Male,"Per 100,000 population",Units,81.6
2007,Normal value,,"Per 100,000 population",Units,158.506191
2008,Normal value,,"Per 100,000 population",Units,166.836568
2009,Normal value,,"Per 100,000 population",Units,155.181689
2010,Normal value,,"Per 100,000 population",Units,154.517607
2011,Normal value,,"Per 100,000 population",Units,158.539192
2012,Normal value,,"Per 100,000 population",Units,156.780391
2013,Normal value,,"Per 100,000 population",Units,144.320612
2014,Normal value,,"Per 100,000 population",Units,129.231041
2015,Normal value,,"Per 100,000 population",Units,141.654663
2016,Normal value,,"Per 100,000 population",Units,135.218207
2017,Normal value,,"Per 100,000 population",Units,136.2
2007,Normal value,Female,"Per 100,000 population",Units,125.927217
2008,Normal value,Female,"Per 100,000 population",Units,125.534299
2009,Normal value,Female,"Per 100,000 population",Units,117.922225
2010,Normal value,Female,"Per 100,000 population",Units,125
2011,Normal value,Female,"Per 100,000 population",Units,112.218882
2012,Normal value,Female,"Per 100,000 population",Units,111.421405
2013,Normal value,Female,"Per 100,000 population",Units,108.3
2014,Normal value,Female,"Per 100,000 population",Units,108.3
2015,Normal value,Female,"Per 100,000 population",Units,118.6
2016,Normal value,Female,"Per 100,000 population",Units,111
2017,Normal value,Female,"Per 100,000 population",Units,108.3
2007,Normal value,Male,"Per 100,000 population",Units,191.988363
2008,Normal value,Male,"Per 100,000 population",Units,209.227296
2009,Normal value,Male,"Per 100,000 population",Units,193.791585
2010,Normal value,Male,"Per 100,000 population",Units,185.1
2011,Normal value,Male,"Per 100,000 population",Units,206.421677
2012,Normal value,Male,"Per 100,000 population",Units,203.602691
2013,Normal value,Male,"Per 100,000 population",Units,181.5
2014,Normal value,Male,"Per 100,000 population",Units,150.8
2015,Normal value,Male,"Per 100,000 population",Units,165.4
2016,Normal value,Male,"Per 100,000 population",Units,160.2
2017,Normal value,Male,"Per 100,000 population",Units,165
2007,Normal value,,"Per 100,000 population",Units,174.387607
2008,Normal value,,"Per 100,000 population",Units,123.075571
2009,Normal value,,"Per 100,000 population",Units,114.473037
2010,Normal value,,"Per 100,000 population",Units,113.112758
2011,Normal value,,"Per 100,000 population",Units,114.984154
2012,Normal value,,"Per 100,000 population",Units,123.691851
2013,Normal value,,"Per 100,000 population",Units,126.393198
2014,Normal value,,"Per 100,000 population",Units,133.511493
2015,Normal value,,"Per 100,000 population",Units,132.924152
2016,Normal value,,"Per 100,000 population",Units,114.6052
2017,Normal value,,"Per 100,000 population",Units,113.1
2007,Normal value,Female,"Per 100,000 population",Units,121.389891
2008,Normal value,Female,"Per 100,000 population",Units,101.464217
2009,Normal value,Female,"Per 100,000 population",Units,90.39282
2010,Normal value,Female,"Per 100,000 population",Units,91.9
2011,Normal value,Female,"Per 100,000 population",Units,90.229385
2012,Normal value,Female,"Per 100,000 population",Units,97.405136
2013,Normal value,Female,"Per 100,000 population",Units,110.2
2014,Normal value,Female,"Per 100,000 population",Units,108.1
2015,Normal value,Female,"Per 100,000 population",Units,103.1
2016,Normal value,Female,"Per 100,000 population",Units,92.2
2017,Normal value,Female,"Per 100,000 population",Units,91.3
2007,Normal value,Male,"Per 100,000 population",Units,232.398826
2008,Normal value,Male,"Per 100,000 population",Units,146.699891
2009,Normal value,Male,"Per 100,000 population",Units,142.327909
2010,Normal value,Male,"Per 100,000 population",Units,137.6
2011,Normal value,Male,"Per 100,000 population",Units,143.529739
2012,Normal value,Male,"Per 100,000 population",Units,153.949048
2013,Normal value,Male,"Per 100,000 population",Units,145
2014,Normal value,Male,"Per 100,000 population",Units,162.1
2015,Normal value,Male,"Per 100,000 population",Units,167
2016,Normal value,Male,"Per 100,000 population",Units,140.2
2017,Normal value,Male,"Per 100,000 population",Units,137.8
2007,Normal value,,"Per 100,000 population",Units,103.296686
2008,Normal value,,"Per 100,000 population",Units,99.531522
2009,Normal value,,"Per 100,000 population",Units,99.784188
2010,Normal value,,"Per 100,000 population",Units,85.444525
2011,Normal value,,"Per 100,000 population",Units,88.724902
2012,Normal value,,"Per 100,000 population",Units,98.392408
2013,Normal value,,"Per 100,000 population",Units,83.705251
2014,Normal value,,"Per 100,000 population",Units,103.082002
2015,Normal value,,"Per 100,000 population",Units,89.736358
2016,Normal value,,"Per 100,000 population",Units,92.52618
2017,Normal value,,"Per 100,000 population",Units,89.7
2007,Normal value,Female,"Per 100,000 population",Units,83.113365
2008,Normal value,Female,"Per 100,000 population",Units,63.749059
2009,Normal value,Female,"Per 100,000 population",Units,82.603422
2010,Normal value,Female,"Per 100,000 population",Units,68
2011,Normal value,Female,"Per 100,000 population",Units,75.035079
2012,Normal value,Female,"Per 100,000 population",Units,78.139535
2013,Normal value,Female,"Per 100,000 population",Units,64.4
2014,Normal value,Female,"Per 100,000 population",Units,92.2
2015,Normal value,Female,"Per 100,000 population",Units,78.5
2016,Normal value,Female,"Per 100,000 population",Units,77.6
2017,Normal value,Female,"Per 100,000 population",Units,75.3
2007,Normal value,Male,"Per 100,000 population",Units,125.184647
2008,Normal value,Male,"Per 100,000 population",Units,138.35178
2009,Normal value,Male,"Per 100,000 population",Units,118.375597
2010,Normal value,Male,"Per 100,000 population",Units,104.4
2011,Normal value,Male,"Per 100,000 population",Units,103.609189
2012,Normal value,Male,"Per 100,000 population",Units,120.379721
2013,Normal value,Male,"Per 100,000 population",Units,104.5
2014,Normal value,Male,"Per 100,000 population",Units,114.8
2015,Normal value,Male,"Per 100,000 population",Units,101.8
2016,Normal value,Male,"Per 100,000 population",Units,108.5
2017,Normal value,Male,"Per 100,000 population",Units,105.2
