Value,Number of indicators
United Nations High Commissioner for Refugees (UNHCR),1
United Nations Human Settlements Programme (UN-Habitat) ,1
"United Nations Human Settlements Programme (UN-Habitat)
United Nations Population Fund (UNFPA)",1
"United Nations Human Settlements Programme (UN-Habitat)
United Nations Statistics Division (UNSD)",1
"United Nations Human Settlements Programme (UN-Habitat)
WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (1.4.1a, b and c)",1
"United Nations Human Settlements Programme (UN-Habitat)
World Health Organization (WHO)
United Nations Statistics Division (UNSD)",1
United Nations Human Settlements Programme (UN-Habitat),4
"United Nations Industrial Development Organization (UNIDO)
(with the collaboration of the International Labour Organization &#x2013; ILO)",1
"United Nations Industrial Development Organization (UNIDO)
World Bank",1
United Nations Industrial Development Organization (UNIDO),3
United Nations Office for Disaster Reduction (UNDRR),12
United Nations Office of the High Commissioner for Human Rights,1
United Nations Office on Drugs and Crime (UNODC) and United Nations Conference on Trade and Development (UNCTAD),1
United Nations Office on Drugs and Crime (UNODC) and United Nations Office for Disarmement Affairs (UNODA),1
"United Nations Office on Drugs and Crime (UNODC), World Health Organization (WHO)",1
United Nations Office on Drugs and Crime (UNODC),8
"United Nations Office on Drugs and Crime (UNODC)
",1
United Nations Population Fund (UNFPA),2
"United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations (UN DESA)",1
United Nations Statistics Division (UNSD),1
World Bank Group,1
World Bank ,1
World Bank (WB),7
World Bank,5
World Health Organization ,1
World Health Organization; Secretariat of the WHO Framework Convention on Tobacco Control (co-custodians) ,1
World Health Organization (WHO) and the World Bank,1
World Health Organization (WHO). Department of Sexual and Reproductive Health and Research.,1
World Health Organization (WHO) ,5
"World Health Organization (WHO) 
United Nations Office on Drugs and Crime (UNODC) ",1
"World Health Organization (WHO), United Nations Children&#x2019;s Fund (UNICEF) ",1
World Health Organization (WHO),11
"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)
United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Office on Drugs and Crime (UNODC)
United Nations Population Fund (UNFPA)
United Nations Statistics Division (UNSD)",1
"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)",2
"World Health Organization (WHO)
United Nations Environment Programme (UNEP)
Organisation for Economic Co-operation and Development (OECD)",2
World Tourism Organization (UN Tourism) with the collaboration of the International Labour Organization (ILO).,1
World Tourism Organization (UNWTO) ,1
World Tourism Organization (UNWTO),1
